Place,StateCode,Physicians,HealthCosts,WaterQuality,AirQuality
east_carondelet,il,152,103.8,20.0,59.0
east_dubuque,il,68,112.5,40.0,78.0
east_dundee,il,124,97.0,60.0,72.0
east_galesburg,il,175,108.1,60.0,80.0
east_gillespie,il,41,117.5,28.0,73.0
east_hazel_crest,il,261,94.0,31.0,60.0
east_moline,il,165,111.5,45.0,71.0
east_peoria,il,105,106.2,40.0,72.0
east_st._louis,il,152,103.8,20.0,47.0
easton,il,66,106.9,52.0,82.0
eddyville,il,47,116.7,33.0,75.0
edgewood,il,224,114.0,20.0,78.0
edgington,il,165,111.5,45.0,82.0
edinburg,il,62,104.7,28.0,80.0
edwardsville,il,115,102.6,35.0,60.0
effingham,il,224,114.0,20.0,70.0
el_dara,il,81,105.0,30.0,78.0
el_paso,il,84,104.1,47.0,83.0
elburn,il,124,97.0,60.0,76.0
eldorado,il,147,114.3,40.0,69.0
eldred,il,60,117.5,20.0,77.0
elgin,il,124,97.0,60.0,67.0
elizabeth,il,68,112.5,40.0,85.0
elizabethtown,il,73,115.1,40.0,75.0
elk_grove_village,il,261,94.0,31.0,57.0
elkhart,il,54,104.1,40.0,83.0
elkville,il,268,118.1,20.0,75.0
elliott,il,95,103.7,48.0,84.0
ellis_grove,il,85,116.5,20.0,74.0
ellisville,il,70,103.9,60.0,83.0
ellsworth,il,193,100.6,40.0,84.0
elmhurst,il,398,97.9,47.0,44.0
elmwood,il,383,104.0,47.0,82.0
elmwood_park,il,261,94.0,31.0,55.0
elsah,il,89,116.1,27.0,67.0
elvaston,il,65,112.9,69.0,82.0
elwood,il,116,100.1,36.0,77.0
emden,il,54,104.1,40.0,82.0
emington,il,98,103.6,40.0,85.0
energy,il,206,118.2,20.0,71.0
enfield,il,42,116.2,20.0,78.0
equality,il,38,116.2,30.0,77.0
erie,il,117,115.1,45.0,84.0
essex,il,137,96.8,60.0,82.0
eureka,il,84,104.1,47.0,81.0
evanston,il,261,94.0,31.0,60.0
evansville,il,85,116.5,20.0,73.0
evergreen_park,il,261,94.0,31.0,55.0
ewing,il,53,117.7,20.0,77.0
exeter,il,39,105.0,20.0,79.0
fairbury,il,98,103.6,40.0,83.0
fairfield,il,61,115.8,20.0,69.0
fairmont_city,il,152,103.8,20.0,38.0
fairmount,il,129,106.2,36.0,83.0
fairview,il,70,103.9,60.0,82.0
fairview_heights,il,152,103.8,20.0,58.0
fall_creek,il,261,106.9,55.0,78.0
farina,il,32,117.3,20.0,79.0
farmer_city,il,74,102.7,20.0,83.0
farmersville,il,73,115.3,27.0,79.0
farmington,il,70,103.9,60.0,78.0
fayetteville,il,152,103.8,20.0,74.0
ferris,il,65,112.9,69.0,82.0
fidelity,il,89,116.1,27.0,73.0
fieldon,il,89,116.1,27.0,71.0
fillmore,il,73,115.3,27.0,80.0
findlay,il,55,104.6,20.0,82.0
fisher,il,234,104.5,20.0,83.0
fithian,il,129,106.2,36.0,80.0
flanagan,il,98,103.6,40.0,84.0
flat_rock,il,119,114.6,20.0,79.0
flora,il,75,115.5,20.0,74.0
florence,il,81,105.0,30.0,78.0
flossmoor,il,261,94.0,31.0,68.0
foosland,il,234,104.5,20.0,83.0
ford_heights,il,261,94.0,31.0,71.0
forest_city,il,66,106.9,52.0,82.0
forest_lake,il,290,99.3,28.0,72.0
forest_park,il,261,94.0,31.0,56.0
forest_view,il,261,94.0,31.0,43.0
forrest,il,98,103.6,40.0,85.0
forreston,il,72,112.7,60.0,84.0
forsyth,il,217,103.9,20.0,80.0
fox_lake,il,290,99.3,28.0,73.0
fox_lake_hills,il,290,99.3,28.0,74.0
fox_river_grove,il,123,107.3,60.0,74.0
frankfort,il,116,100.1,36.0,68.0
frankfort_square,il,116,100.1,36.0,64.0
franklin,il,109,102.8,30.0,79.0
franklin_grove,il,150,110.5,52.0,81.0
franklin_park,il,261,94.0,31.0,45.0
freeburg,il,152,103.8,20.0,68.0
freeport,il,136,109.5,50.0,73.0
fulton,il,117,115.1,45.0,78.0
fults,il,62,104.0,20.0,71.0
gages_lake,il,290,99.3,28.0,72.0
galatia,il,147,114.3,40.0,77.0
galena,il,68,112.5,40.0,82.0
galesburg,il,175,108.1,60.0,72.0
galva,il,55,112.4,60.0,82.0
garden_prairie,il,125,112.4,53.0,78.0
gardner,il,99,97.8,40.0,82.0
garrett,il,35,104.5,20.0,81.0
gays,il,47,105.6,20.0,82.0
geneseo,il,55,112.4,60.0,79.0
geneva,il,124,97.0,60.0,67.0
genoa,il,85,109.3,60.0,80.0
georgetown,il,129,106.2,36.0,81.0
german_valley,il,136,109.5,50.0,84.0
germantown,il,58,117.0,33.0,76.0
germantown_hills,il,84,104.1,47.0,79.0
gibson_city,il,95,103.7,48.0,77.0
gifford,il,234,104.5,20.0,83.0
gilberts,il,124,97.0,60.0,76.0
gillespie,il,41,117.5,28.0,73.0
gilman,il,80,105.7,61.0,83.0
gilson,il,175,108.1,60.0,82.0
girard,il,41,117.5,28.0,77.0
gladstone,il,29,112.3,60.0,83.0
glasford,il,383,104.0,47.0,80.0
glasgow,il,39,105.0,20.0,79.0
glen_carbon,il,115,102.6,35.0,57.0
glen_ellyn,il,398,97.9,47.0,60.0
glencoe,il,261,94.0,31.0,71.0
glendale_heights,il,398,97.9,47.0,60.0
glenview,il,261,94.0,31.0,56.0
glenwood,il,261,94.0,31.0,69.0
godfrey,il,115,102.6,35.0,64.0
godley,il,116,100.1,36.0,79.0
golconda,il,47,116.7,33.0,75.0
golden,il,261,106.9,55.0,82.0
golden_gate,il,61,115.8,20.0,79.0
golf,il,261,94.0,31.0,53.0
good_hope,il,118,105.1,60.0,83.0
goodfield,il,84,104.1,47.0,82.0
goofy_ridge,il,66,106.9,52.0,82.0
goreville,il,39,117.2,28.0,74.0
gorham,il,268,118.1,20.0,74.0
grafton,il,89,116.1,27.0,68.0
grand_detour_cdp,il,72,112.7,60.0,84.0
grand_ridge,il,103,108.4,40.0,79.0
grand_tower,il,268,118.1,20.0,74.0
grandview,il,377,105.0,27.0,65.0
grandwood_park,il,290,99.3,28.0,66.0
granite_city,il,115,102.6,35.0,41.0
grant_park,il,137,96.8,60.0,80.0
grantfork,il,115,102.6,35.0,75.0
granville,il,18,106.7,20.0,82.0
grayslake,il,290,99.3,28.0,71.0
grayville,il,42,116.2,20.0,77.0
green_oaks,il,290,99.3,28.0,67.0
green_valley,il,105,106.2,40.0,81.0
greenfield,il,60,117.5,20.0,77.0
greenup,il,9,104.4,20.0,78.0
greenview,il,48,105.0,33.0,81.0
greenville,il,106,117.0,33.0,65.0
greenwood,il,123,107.3,60.0,81.0
gridley,il,193,100.6,40.0,83.0
griggsville,il,81,105.0,30.0,80.0
gulf_port,il,29,112.3,60.0,83.0
gurnee,il,290,99.3,28.0,62.0
hainesville,il,290,99.3,28.0,70.0
hamburg,il,61,116.3,33.0,75.0
hamel,il,115,102.6,35.0,72.0
hamilton,il,65,112.9,69.0,79.0
hammond,il,49,107.1,20.0,82.0
hampshire,il,124,97.0,60.0,73.0
hampton,il,165,111.5,45.0,75.0
hanaford,il,53,117.7,20.0,77.0
hanna_city,il,383,104.0,47.0,80.0
hanover,il,68,112.5,40.0,85.0
hardin,il,61,116.3,33.0,75.0
harmon,il,150,110.5,52.0,83.0
harrisburg,il,147,114.3,40.0,68.0
harrison_cdp,il,268,118.1,20.0,73.0
harristown,il,217,103.9,20.0,82.0
hartford,il,115,102.6,35.0,53.0
hartland,il,123,107.3,60.0,81.0
hartsburg,il,54,104.1,40.0,82.0
harvard,il,123,107.3,60.0,77.0
harvel,il,73,115.3,27.0,79.0
harvey,il,261,94.0,31.0,63.0
harwood_heights,il,261,94.0,31.0,42.0
havana,il,66,106.9,52.0,74.0
hawthorn_woods,il,290,99.3,28.0,73.0
hazel_crest,il,261,94.0,31.0,47.0
hebron,il,123,107.3,60.0,78.0
hecker,il,62,104.0,20.0,71.0
henderson,il,175,108.1,60.0,83.0
hennepin,il,18,106.7,20.0,82.0
henning,il,129,106.2,36.0,83.0
henry,il,33,105.3,50.0,78.0
heritage_lake,il,105,106.2,40.0,81.0
herrick,il,55,104.6,20.0,81.0
herrin,il,206,118.2,20.0,66.0
herscher,il,137,96.8,60.0,78.0
hettick,il,41,117.5,28.0,79.0
heyworth,il,193,100.6,40.0,83.0
hickory_hills,il,261,94.0,31.0,56.0
hidalgo,il,10,116.5,20.0,80.0
highland,il,115,102.6,35.0,68.0
highland_park,il,290,99.3,28.0,66.0
highwood,il,290,99.3,28.0,64.0
hillcrest,il,72,112.7,60.0,79.0
hillsboro,il,73,115.3,27.0,76.0
hillsdale,il,165,111.5,45.0,80.0
hillside,il,261,94.0,31.0,54.0
hillview,il,60,117.5,20.0,77.0
hinckley,il,85,109.3,60.0,80.0
hindsboro,il,35,104.5,20.0,82.0
hinsdale,il,398,97.9,47.0,58.0
hodgkins,il,261,94.0,31.0,61.0
hoffman,il,58,117.0,33.0,74.0
hoffman_estates,il,261,94.0,31.0,65.0
holiday_hills,il,123,107.3,60.0,77.0
holiday_shores,il,115,102.6,35.0,69.0
hollowayville,il,116,112.8,50.0,83.0
homer,il,234,104.5,20.0,83.0
homer_glen,il,116,100.1,36.0,70.0
hometown,il,261,94.0,31.0,50.0
homewood,il,261,94.0,31.0,65.0
hoopeston,il,129,106.2,36.0,79.0
hooppole,il,55,112.4,60.0,83.0
hopedale,il,105,106.2,40.0,82.0
hopewell,il,33,105.3,50.0,82.0
hopkins_park,il,137,96.8,60.0,83.0
hoyleton,il,56,117.5,20.0,77.0
hudson,il,193,100.6,40.0,83.0
huey,il,58,117.0,33.0,78.0
hull,il,81,105.0,30.0,79.0
humboldt,il,171,103.8,20.0,83.0
hume,il,62,103.6,20.0,83.0
huntley,il,123,107.3,60.0,73.0
hurst,il,206,118.2,20.0,74.0
hutsonville,il,119,114.6,20.0,79.0
illiopolis,il,377,105.0,27.0,80.0
ina,il,258,118.2,20.0,77.0
indian_creek,il,290,99.3,28.0,68.0
indian_head_park,il,261,94.0,31.0,60.0
indianola,il,129,106.2,36.0,83.0
industry,il,118,105.1,60.0,82.0
ingalls_park,il,116,100.1,36.0,68.0
inverness,il,261,94.0,31.0,67.0
iola,il,75,115.5,20.0,79.0
ipava,il,70,103.9,60.0,82.0
iroquois,il,80,105.7,61.0,84.0
irving,il,73,115.3,27.0,81.0
irvington,il,56,117.5,20.0,77.0
irwin,il,137,96.8,60.0,78.0
island_lake,il,123,107.3,60.0,74.0
itasca,il,398,97.9,47.0,56.0
iuka,il,146,116.2,20.0,77.0
ivesdale,il,234,104.5,20.0,79.0
jacksonville,il,109,102.8,30.0,66.0
jeffersonville,il,61,115.8,20.0,79.0
jeisyville,il,62,104.7,28.0,80.0
jerome,il,377,105.0,27.0,67.0
jerseyville,il,89,116.1,27.0,71.0
jewett,il,9,104.4,20.0,80.0
johnsburg,il,123,107.3,60.0,77.0
johnsonville,il,61,115.8,20.0,79.0
johnston_city,il,206,118.2,20.0,70.0
joliet,il,116,100.1,36.0,66.0
jonesboro,il,109,118.6,20.0,73.0
joppa,il,27,116.1,40.0,73.0
joy,il,44,112.5,53.0,83.0
junction,il,38,116.2,30.0,77.0
junction_city,il,146,116.2,20.0,76.0
justice,il,261,94.0,31.0,58.0
kampsville,il,61,116.3,33.0,75.0
kane,il,60,117.5,20.0,77.0
kaneville,il,124,97.0,60.0,79.0
kangley,il,103,108.4,40.0,75.0
kankakee,il,137,96.8,60.0,69.0
kansas,il,62,103.6,20.0,82.0
kappa,il,84,104.1,47.0,83.0
karnak,il,0,117.7,20.0,75.0
kaskaskia,il,85,116.5,20.0,73.0
keenes,il,61,115.8,20.0,79.0
keensburg,il,87,112.8,20.0,78.0
keithsburg,il,44,112.5,53.0,83.0
kell,il,146,116.2,20.0,77.0
kempton,il,95,103.7,48.0,85.0
kenilworth,il,261,94.0,31.0,67.0
kenney,il,74,102.7,20.0,82.0
kewanee,il,55,112.4,60.0,68.0
keyesport,il,106,117.0,33.0,77.0
kilbourne,il,66,106.9,52.0,82.0
kildeer,il,290,99.3,28.0,69.0
kincaid,il,62,104.7,28.0,80.0
kinderhook,il,81,105.0,30.0,79.0
kingston,il,85,109.3,60.0,81.0
kingston_mines,il,383,104.0,47.0,80.0
kinmundy,il,146,116.2,20.0,78.0
kinsman,il,99,97.8,40.0,81.0
kirkland,il,85,109.3,60.0,81.0
kirkwood,il,80,111.8,60.0,84.0
knollwood,il,290,99.3,28.0,66.0
knoxville,il,175,108.1,60.0,76.0
la_clede,il,32,117.3,20.0,79.0
la_fayette,il,17,105.3,60.0,84.0
la_grange,il,261,94.0,31.0,55.0
la_grange_park,il,261,94.0,31.0,58.0
la_harpe,il,65,112.9,69.0,82.0
la_moille,il,116,112.8,50.0,84.0
la_prairie,il,261,106.9,55.0,82.0
la_rose,il,33,105.3,50.0,83.0
lacon,il,33,105.3,50.0,82.0
ladd,il,116,112.8,50.0,80.0
lake_barrington,il,290,99.3,28.0,74.0
lake_bluff,il,290,99.3,28.0,68.0
lake_camelot,il,383,104.0,47.0,80.0
lake_catherine,il,290,99.3,28.0,74.0
lake_forest,il,290,99.3,28.0,71.0
lake_holiday,il,103,108.4,40.0,80.0
lake_in_the_hills,il,123,107.3,60.0,72.0
lake_ka-ho,il,41,117.5,28.0,76.0
lake_of_the_woods,il,234,104.5,20.0,82.0
lake_petersburg,il,48,105.0,33.0,80.0
lake_summerset,il,224,111.8,56.0,84.0
lake_villa,il,290,99.3,28.0,72.0
lake_zurich,il,290,99.3,28.0,66.0
lakewood,il,123,107.3,60.0,75.0
lakewood_shores,il,116,100.1,36.0,79.0
lanark,il,34,111.8,45.0,83.0
langleyville,il,62,104.7,28.0,80.0
lansing,il,261,94.0,31.0,52.0
laplace,il,49,107.1,20.0,81.0
lasalle,il,103,108.4,40.0,71.0
latham,il,54,104.1,40.0,82.0
lawrenceville,il,61,116.3,20.0,68.0
le_roy,il,193,100.6,40.0,83.0
leaf_river,il,72,112.7,60.0,82.0
lebanon,il,152,103.8,20.0,71.0
lee,il,150,110.5,52.0,83.0
lee_center,il,150,110.5,52.0,83.0
leland,il,103,108.4,40.0,81.0
leland_grove,il,377,105.0,27.0,69.0
lemont,il,261,94.0,31.0,69.0
lena,il,136,109.5,50.0,85.0
lenzburg,il,152,103.8,20.0,74.0
leonore,il,103,108.4,40.0,82.0
lerna,il,171,103.8,20.0,81.0
lewistown,il,70,103.9,60.0,80.0
lexington,il,193,100.6,40.0,84.0
liberty,il,261,106.9,55.0,80.0
libertyville,il,290,99.3,28.0,67.0
lily_lake,il,124,97.0,60.0,76.0
lima,il,261,106.9,55.0,80.0
limestone,il,137,96.8,60.0,81.0
lincoln,il,54,104.1,40.0,70.0
lincolnshire,il,290,99.3,28.0,63.0
lincolnwood,il,261,94.0,31.0,46.0
lindenhurst,il,290,99.3,28.0,69.0
lisbon,il,48,97.4,33.0,78.0
lisle,il,398,97.9,47.0,61.0
litchfield,il,73,115.3,27.0,69.0
little_york,il,80,111.8,60.0,84.0
littleton,il,43,106.8,59.0,82.0
liverpool,il,70,103.9,60.0,82.0
livingston,il,115,102.6,35.0,75.0
loami,il,377,105.0,27.0,80.0
lockport,il,116,100.1,36.0,69.0
loda,il,80,105.7,61.0,85.0
lomax,il,29,112.3,60.0,82.0
lombard,il,398,97.9,47.0,55.0
london_mills,il,70,103.9,60.0,83.0
long_creek,il,217,103.9,20.0,78.0
long_grove,il,290,99.3,28.0,68.0
long_point,il,98,103.6,40.0,84.0
longview,il,234,104.5,20.0,83.0
loraine,il,261,106.9,55.0,80.0
lost_nation,il,72,112.7,60.0,83.0
lostant,il,103,108.4,40.0,82.0
louisville,il,75,115.5,20.0,79.0
loves_park,il,224,111.8,56.0,75.0
lovington,il,47,105.6,20.0,82.0
ludlow,il,234,104.5,20.0,83.0
lyndon,il,117,115.1,45.0,84.0
lynnville,il,109,102.8,30.0,80.0
lynwood,il,261,94.0,31.0,24.0
lyons,il,261,94.0,31.0,56.0
machesney_park,il,224,111.8,56.0,75.0
mackinaw,il,105,106.2,40.0,81.0
macomb,il,118,105.1,60.0,73.0
macon,il,217,103.9,20.0,81.0
madison,il,115,102.6,35.0,48.0
maeystown,il,62,104.0,20.0,68.0
magnolia,il,18,106.7,20.0,82.0
mahomet,il,234,104.5,20.0,81.0
makanda,il,268,118.1,20.0,74.0
malden,il,116,112.8,50.0,78.0
malta,il,85,109.3,60.0,83.0
manchester,il,39,105.0,20.0,79.0
manhattan,il,116,100.1,36.0,78.0
manito,il,66,106.9,52.0,82.0
manlius,il,116,112.8,50.0,84.0
mansfield,il,49,107.1,20.0,82.0
manteno,il,137,96.8,60.0,79.0
mapleton,il,383,104.0,47.0,80.0
maquon,il,175,108.1,60.0,82.0
marengo,il,123,107.3,60.0,81.0
marietta,il,70,103.9,60.0,82.0
marine,il,115,102.6,35.0,69.0
marion,il,206,118.2,20.0,68.0
marissa,il,152,103.8,20.0,74.0
mark,il,18,106.7,20.0,82.0
markham,il,261,94.0,31.0,57.0
maroa,il,217,103.9,20.0,81.0
marquette_heights,il,105,106.2,40.0,75.0
marseilles,il,103,108.4,40.0,72.0
marshall,il,44,105.8,20.0,74.0
martinsville,il,44,105.8,20.0,79.0
martinton,il,80,105.7,61.0,84.0
maryville,il,115,102.6,35.0,58.0
mascoutah,il,152,103.8,20.0,70.0
mason_city,il,66,106.9,52.0,78.0
matherville,il,44,112.5,53.0,83.0
matteson,il,261,94.0,31.0,64.0
mattoon,il,171,103.8,20.0,73.0
maunie,il,42,116.2,20.0,76.0
maywood,il,261,94.0,31.0,57.0
mazon,il,99,97.8,40.0,81.0
mcclure,il,30,118.4,40.0,74.0
mccook,il,261,94.0,31.0,61.0
mccullom_lake,il,123,107.3,60.0,76.0
mchenry,il,123,107.3,60.0,76.0
mclean,il,193,100.6,40.0,82.0
mcleansboro,il,49,116.2,20.0,76.0
mcnabb,il,18,106.7,20.0,82.0
mechanicsburg,il,377,105.0,27.0,80.0
media,il,29,112.3,60.0,82.0
medora,il,41,117.5,28.0,77.0
melrose_park,il,261,94.0,31.0,57.0
melvin,il,95,103.7,48.0,84.0
mendon,il,261,106.9,55.0,80.0
mendota,il,103,108.4,40.0,82.0
menominee,il,68,112.5,40.0,78.0
meredosia,il,109,102.8,30.0,80.0
merrionette_park,il,261,94.0,31.0,53.0
metamora,il,84,104.1,47.0,81.0
metcalf,il,62,103.6,20.0,83.0
metropolis,il,27,116.1,40.0,60.0
mettawa,il,290,99.3,28.0,68.0
middletown,il,54,104.1,40.0,83.0
midlothian,il,261,94.0,31.0,53.0
milan,il,165,111.5,45.0,76.0
milford,il,80,105.7,61.0,85.0
mill_creek,il,109,118.6,20.0,75.0
mill_shoals,il,42,116.2,20.0,78.0
millbrook,il,48,97.4,33.0,76.0
milledgeville,il,34,111.8,45.0,84.0
millersburg,il,44,112.5,53.0,83.0
millington,il,103,108.4,40.0,78.0
millstadt,il,152,103.8,20.0,65.0
milton,il,81,105.0,30.0,78.0
mineral,il,116,112.8,50.0,84.0
minier,il,105,106.2,40.0,82.0
minonk,il,84,104.1,47.0,82.0
minooka,il,99,97.8,40.0,75.0
mitchell,il,115,102.6,35.0,54.0
modesto,il,41,117.5,28.0,79.0
mokena,il,116,100.1,36.0,67.0
moline,il,165,111.5,45.0,71.0
momence,il,137,96.8,60.0,82.0
monee,il,116,100.1,36.0,57.0
monmouth,il,80,111.8,60.0,75.0
monroe_center,il,72,112.7,60.0,82.0
monticello,il,49,107.1,20.0,80.0
montrose,il,224,114.0,20.0,78.0
moro,il,115,102.6,35.0,69.0
morris,il,99,97.8,40.0,70.0
morrison,il,117,115.1,45.0,83.0
morrisonville,il,62,104.7,28.0,80.0
morton,il,105,106.2,40.0,77.0
morton_grove,il,261,94.0,31.0,47.0
mound_city,il,0,117.7,20.0,75.0
mound_station,il,15,105.0,47.0,81.0
mounds,il,0,117.7,20.0,76.0
mount_auburn,il,62,104.7,28.0,80.0
mount_carmel,il,87,112.8,20.0,77.0
mount_carroll,il,34,111.8,45.0,84.0
mount_clare,il,41,117.5,28.0,76.0
mount_erie,il,61,115.8,20.0,79.0
mount_morris,il,72,112.7,60.0,82.0
mount_olive,il,41,117.5,28.0,77.0
mount_prospect,il,261,94.0,31.0,50.0
mount_pulaski,il,54,104.1,40.0,82.0
mount_sterling,il,15,105.0,47.0,78.0
mount_vernon,il,258,118.2,20.0,66.0
mount_zion,il,217,103.9,20.0,80.0
moweaqua,il,55,104.6,20.0,82.0
muddy,il,147,114.3,40.0,76.0
mulberry_grove,il,106,117.0,33.0,78.0
mulkeytown,il,53,117.7,20.0,75.0
muncie,il,129,106.2,36.0,80.0
mundelein,il,290,99.3,28.0,69.0
murphysboro,il,268,118.1,20.0,71.0
murrayville,il,109,102.8,30.0,79.0
nachusa,il,150,110.5,52.0,81.0
naperville,il,398,97.9,47.0,66.0
naplate,il,103,108.4,40.0,81.0
naples,il,39,105.0,20.0,79.0
nashville,il,56,117.5,20.0,62.0
nason,il,258,118.2,20.0,77.0
nauvoo,il,65,112.9,69.0,82.0
nebo,il,81,105.0,30.0,78.0
nelson,il,150,110.5,52.0,83.0
neoga,il,9,104.4,20.0,80.0
neponset,il,116,112.8,50.0,84.0
new_athens,il,152,103.8,20.0,70.0
new_baden,il,58,117.0,33.0,72.0
new_bedford,il,116,112.8,50.0,84.0
new_berlin,il,377,105.0,27.0,80.0
new_boston,il,44,112.5,53.0,83.0
new_burnside,il,39,117.2,28.0,75.0
new_canton,il,81,105.0,30.0,78.0
new_douglas,il,115,102.6,35.0,75.0
new_grand_chain,il,0,117.7,20.0,75.0
new_haven,il,38,116.2,30.0,78.0
new_holland,il,54,104.1,40.0,82.0
new_lenox,il,116,100.1,36.0,70.0
new_milford,il,224,111.8,56.0,77.0
new_minden,il,56,117.5,20.0,77.0
new_salem,il,81,105.0,30.0,80.0
newark,il,48,97.4,33.0,78.0
newman,il,35,104.5,20.0,82.0
newton,il,10,116.5,20.0,65.0
niantic,il,217,103.9,20.0,82.0
niles,il,261,94.0,31.0,30.0
noble,il,187,115.9,20.0,79.0
nokomis,il,73,115.3,27.0,81.0
nora,il,68,112.5,40.0,86.0
norridge,il,261,94.0,31.0,34.0
norris,il,70,103.9,60.0,82.0
norris_city,il,42,116.2,20.0,76.0
north_aurora,il,124,97.0,60.0,66.0
north_barrington,il,290,99.3,28.0,73.0
north_chicago,il,290,99.3,28.0,65.0
north_city,il,53,117.7,20.0,74.0
north_henderson,il,44,112.5,53.0,83.0
north_pekin,il,105,106.2,40.0,75.0
north_riverside,il,261,94.0,31.0,62.0
north_utica,il,103,108.4,40.0,81.0
northbrook,il,261,94.0,31.0,57.0
northfield,il,261,94.0,31.0,61.0
northlake,il,261,94.0,31.0,52.0
norwood,il,383,104.0,47.0,77.0
oak_brook,il,398,97.9,47.0,56.0
oak_forest,il,261,94.0,31.0,54.0
oak_grove,il,165,111.5,45.0,80.0
oak_lawn,il,261,94.0,31.0,54.0
oak_park,il,261,94.0,31.0,54.0
oak_run,il,175,108.1,60.0,83.0
oakbrook_terrace,il,398,97.9,47.0,50.0
oakdale,il,56,117.5,20.0,77.0
oakford,il,48,105.0,33.0,81.0
oakland,il,171,103.8,20.0,83.0
oakwood,il,129,106.2,36.0,80.0
oakwood_hills,il,123,107.3,60.0,77.0
oblong,il,119,114.6,20.0,75.0
oconee,il,55,104.6,20.0,81.0
odell,il,98,103.6,40.0,85.0
odin,il,146,116.2,20.0,72.0
o'fallon,il,152,103.8,20.0,61.0
ogden,il,234,104.5,20.0,81.0
oglesby,il,103,108.4,40.0,79.0
ohio,il,116,112.8,50.0,84.0
ohlman,il,73,115.3,27.0,81.0
okawville,il,56,117.5,20.0,75.0
old_mill_creek,il,290,99.3,28.0,65.0
old_ripley,il,106,117.0,33.0,77.0
old_shawneetown,il,38,116.2,30.0,77.0
olive_branch,il,30,118.4,40.0,74.0
olivet,il,129,106.2,36.0,83.0
olmsted,il,0,117.7,20.0,75.0
olney,il,187,115.9,20.0,68.0
olympia_fields,il,261,94.0,31.0,70.0
omaha,il,38,116.2,30.0,78.0
onarga,il,80,105.7,61.0,83.0
oneida,il,175,108.1,60.0,83.0
opdyke,il,258,118.2,20.0,77.0
oquawka,il,29,112.3,60.0,82.0
orangeville,il,136,109.5,50.0,85.0
oreana,il,217,103.9,20.0,77.0
oregon,il,72,112.7,60.0,75.0
orient,il,53,117.7,20.0,75.0
orion,il,55,112.4,60.0,81.0
orland_hills,il,261,94.0,31.0,60.0
orland_park,il,261,94.0,31.0,63.0
osco,il,55,112.4,60.0,83.0
oswego,il,48,97.4,33.0,72.0
ottawa,il,103,108.4,40.0,67.0
otterville,il,89,116.1,27.0,71.0
owaneco,il,62,104.7,28.0,82.0
paderborn,il,152,103.8,20.0,65.0
palatine,il,261,94.0,31.0,47.0
palestine,il,119,114.6,20.0,76.0
palmer,il,62,104.7,28.0,80.0
palmyra,il,41,117.5,28.0,79.0
palos_heights,il,261,94.0,31.0,59.0
palos_hills,il,261,94.0,31.0,59.0
palos_park,il,261,94.0,31.0,65.0
pana,il,62,104.7,28.0,69.0
panama,il,73,115.3,27.0,78.0
panola,il,84,104.1,47.0,83.0
papineau,il,80,105.7,61.0,84.0
paris,il,62,103.6,20.0,77.0
park_city,il,290,99.3,28.0,64.0
park_forest,il,261,94.0,31.0,71.0
park_ridge,il,261,94.0,31.0,33.0
parkersburg,il,187,115.9,20.0,80.0
patoka,il,146,116.2,20.0,78.0
paw_paw,il,150,110.5,52.0,84.0
pawnee,il,377,105.0,27.0,79.0
paxton,il,95,103.7,48.0,75.0
payson,il,261,106.9,55.0,80.0
pearl,il,81,105.0,30.0,78.0
pearl_city,il,136,109.5,50.0,86.0
pecatonica,il,224,111.8,56.0,83.0
pekin,il,105,106.2,40.0,70.0
penfield,il,234,104.5,20.0,83.0
peoria,il,383,104.0,47.0,66.0
peoria_heights,il,383,104.0,47.0,70.0
peotone,il,116,100.1,36.0,78.0
percy,il,85,116.5,20.0,73.0
perry,il,81,105.0,30.0,80.0
peru,il,103,108.4,40.0,70.0
pesotum,il,234,104.5,20.0,79.0
petersburg,il,48,105.0,33.0,80.0
phillipstown,il,42,116.2,20.0,77.0
philo,il,234,104.5,20.0,79.0
phoenix,il,261,94.0,31.0,65.0
pierron,il,106,117.0,33.0,77.0
pinckneyville,il,70,119.7,20.0,75.0
pingree_grove,il,124,97.0,60.0,76.0
piper_city,il,95,103.7,48.0,85.0
pistakee_highlands,il,123,107.3,60.0,71.0
pittsburg,il,206,118.2,20.0,75.0
pittsfield,il,81,105.0,30.0,65.0
plainfield,il,116,100.1,36.0,72.0
plainville,il,261,106.9,55.0,80.0
plano,il,48,97.4,33.0,76.0
plattville,il,48,97.4,33.0,78.0
pleasant_hill,il,81,105.0,30.0,78.0
pleasant_plains,il,377,105.0,27.0,80.0
plymouth,il,65,112.9,69.0,82.0
pocahontas,il,106,117.0,33.0,77.0
polo,il,72,112.7,60.0,84.0
pontiac,il,98,103.6,40.0,79.0
pontoon_beach,il,115,102.6,35.0,54.0
pontoosuc,il,65,112.9,69.0,82.0
poplar_grove,il,125,112.4,53.0,80.0
port_byron,il,165,111.5,45.0,80.0
posen,il,261,94.0,31.0,59.0
potomac,il,129,106.2,36.0,83.0
prairie_city,il,118,105.1,60.0,80.0
prairie_du_rocher,il,85,116.5,20.0,73.0
prairie_grove,il,123,107.3,60.0,77.0
preemption,il,44,112.5,53.0,83.0
prestbury,il,124,97.0,60.0,67.0
preston_heights,il,116,100.1,36.0,71.0
princeton,il,116,112.8,50.0,70.0
princeville,il,383,104.0,47.0,82.0
prophetstown,il,117,115.1,45.0,84.0
prospect_heights,il,261,94.0,31.0,53.0
pulaski,il,0,117.7,20.0,76.0
