Place,StateCode,Physicians,HealthCosts,WaterQuality,AirQuality
gallant,al,193,107.7,85,58
gantt,al,103,101.1,74,56
garden_city,al,129,101.2,53,50
gardendale,al,350,104.2,81,37
gaylesville,al,39,101.2,89,63
geiger,al,61,106.4,88,56
geneva,al,34,104.8,100,41
georgiana,al,70,101.1,80,51
geraldine,al,61,104.2,86,65
gilbertown,al,53,108.3,88,55
glen_allen,al,48,102.9,66,59
glencoe,al,193,107.7,85,51
glenwood,al,29,102.4,73,53
goldville,al,113,105.7,80,53
good_hope,al,129,101.2,53,51
goodwater,al,9,103.5,60,51
gordo,al,43,102.8,70,55
gordon,al,328,108.2,100,55
gordonville,al,19,105.1,86,55
goshen,al,88,102.9,99,52
graham,al,49,103.8,79,60
grand_bay,al,209,106.7,60,63
grant,al,102,103.2,55,63
grayson_valley,al,350,104.2,81,47
graysville,al,350,104.2,81,38
greensboro,al,27,102.4,99,53
greenville,al,70,101.1,80,47
grimes,al,53,103.5,50,44
grove_hill,al,73,102.3,100,56
guin,al,109,102.4,60,59
gulf_shores,al,173,100.8,67,76
gulfcrest,al,209,106.7,60,59
guntersville,al,102,103.2,55,61
gurley,al,231,108,1,63
gu-win,al,109,102.4,60,59
hackleburg,al,109,102.4,60,63
hackneyville,al,113,105.7,80,51
haleburg,al,52,105.7,74,56
haleyville,al,46,101.6,61,61
hamilton,al,109,102.4,60,62
hammondville,al,61,104.2,86,65
hanceville,al,129,101.2,53,50
harpersville,al,208,104.5,79,47
hartford,al,34,104.8,100,52
hartselle,al,151,103.6,30,51
harvest,al,231,108,1,61
hatton,al,39,104.9,40,61
hayden,al,30,111.8,76,52
hayneville,al,19,105.1,86,49
hazel_green,al,231,108,1,65
headland,al,52,105.7,74,55
heath,al,103,101.1,74,55
heflin,al,13,102.8,92,48
helena,al,208,104.5,79,41
henagar,al,61,104.2,86,66
highland_lake,al,30,111.8,76,58
highland_lakes,al,208,104.5,79,47
hillsboro,al,39,104.9,40,57
hissop,al,9,103.5,60,51
hobson,al,18,103,73,56
hobson_city,al,170,106.9,91,39
hodges,al,82,103,73,64
hokes_bluff,al,193,107.7,85,51
hollins,al,74,101.8,81,53
hollis_crossroads,al,13,102.8,92,53
holly_pond,al,129,101.2,53,60
hollywood,al,92,102.9,53,64
holt,al,200,103.1,92,40
holtville,al,48,105,87,48
homewood,al,350,104.2,81,24
hoover,al,350,104.2,81,34
horn_hill,al,103,101.1,74,57
hueytown,al,350,104.2,81,41
huguley,al,73,103.3,80,54
huntsville,al,231,108,1,49
hurtsboro,al,32,105.1,73,47
hytop,al,92,102.9,53,67
ider,al,61,104.2,86,64
indian_springs_village,al,208,104.5,79,40
irondale,al,350,104.2,81,40
ivalee,al,193,107.7,85,58
jackson,al,73,102.3,100,50
jacksons'_gap,al,113,105.7,80,52
jacksonville,al,170,106.9,91,51
jasper,al,110,104,80,44
jemison,al,27,108.8,88,50
joppa,al,129,101.2,53,61
kansas,al,110,104,80,55
kellyton,al,9,103.5,60,51
kennedy,al,22,104,47,57
killen,al,173,101.4,40,64
kimberly,al,350,104.2,81,49
kinsey,al,328,108.2,100,55
kinston,al,107,101.2,60,57
la_fayette,al,73,103.3,80,53
ladonia,al,32,105.1,73,48
lake_view,al,200,103.1,92,38
lanett,al,73,103.3,80,46
langston,al,92,102.9,53,67
leeds,al,350,104.2,81,44
leesburg,al,39,101.2,89,60
leighton,al,155,101.7,60,62
leroy,al,18,103,73,56
lester,al,50,108.3,27,64
level_plains,al,53,103.5,50,53
lexington,al,173,101.4,40,65
libertyville,al,103,101.1,74,56
lincoln,al,61,104.9,71,43
linden,al,70,103.1,100,52
lineville,al,74,101.8,81,57
lipscomb,al,350,104.2,81,34
lisman,al,53,108.3,88,53
littleville,al,155,101.7,60,62
livingston,al,61,106.4,88,54
loachapoka,al,124,103.5,73,50
lockhart,al,103,101.1,74,57
locust_fork,al,30,111.8,76,56
lookout_mountain,al,193,107.7,85,60
louisville,al,57,101,80,52
lowndesboro,al,19,105.1,86,53
loxley,al,173,100.8,67,64
luverne,al,29,102.4,73,53
lynn,al,46,101.6,61,59
macedonia,al,43,102.8,70,59
madison,al,231,108,1,56
madrid,al,328,108.2,100,55
magnolia_springs,al,173,100.8,67,68
malcolm,al,18,103,73,53
malvern,al,34,104.8,100,56
maplesville,al,27,108.8,88,51
marbury,al,58,106.9,80,51
margaret,al,32,107.2,81,54
marion,al,41,103.7,100,54
maytown,al,350,104.2,81,39
mcdonald_chapel,al,350,104.2,81,41
mcintosh,al,18,103,73,53
mckenzie,al,70,101.1,80,53
mcmullen,al,43,102.8,70,57
meadowbrook,al,208,104.5,79,39
megargel,al,60,102.3,85,58
memphis,al,?,?,?,?
mentone,al,61,104.2,86,65
meridianville,al,231,108,1,62
midfield,al,350,104.2,81,27
midland_city,al,53,103.5,50,45
midway,al,65,102.4,88,49
mignon,al,61,104.9,71,44
millbrook,al,48,105,87,43
millerville,al,74,101.8,81,53
millport,al,22,104,47,57
millry,al,18,103,73,58
minor,al,350,104.2,81,41
mobile,al,209,106.7,60,46
monroeville,al,60,102.3,85,56
montevallo,al,208,104.5,79,45
montgomery,al,253,106.4,87,32
moody,al,32,107.2,81,50
moores_mill,al,231,108,1,63
mooresville,al,50,108.3,27,60
morris,al,350,104.2,81,49
morrison_crossroads,al,49,103.8,79,57
mosses,al,19,105.1,86,55
moulton,al,39,104.9,40,59
moundville,al,27,102.4,99,49
mount_olive_(jefferson_cnty),al,350,104.2,81,41
mount_vernon,al,209,106.7,60,52
mountain_brook,al,350,104.2,81,34
movico,al,209,106.7,60,52
mulga,al,350,104.2,81,41
munford,al,61,104.9,71,51
muscle_shoals,al,155,101.7,60,51
myrtlewood,al,70,103.1,100,52
nanafalia,al,70,103.1,100,52
nances_creek,al,170,106.9,91,56
napier_field,al,53,103.5,50,44
natural_bridge,al,46,101.6,61,59
nauvoo,al,110,104,80,56
nectar,al,30,111.8,76,58
needham,al,53,108.3,88,55
new_brockton,al,107,101.2,60,54
new_hope,al,231,108,1,63
new_market,al,231,108,1,67
new_site,al,113,105.7,80,53
new_union,al,193,107.7,85,62
newbern,al,27,102.4,99,55
newton,al,53,103.5,50,53
newville,al,52,105.7,74,56
north_courtland,al,39,104.9,40,59
north_johns,al,350,104.2,81,36
northport,al,200,103.1,92,33
notasulga,al,73,103.4,80,44
oak_grove,al,61,104.9,71,46
oak_hill,al,45,102.5,100,56
oakman,al,110,104,80,50
odenville,al,32,107.2,81,54
ohatchee,al,170,106.9,91,52
oneonta,al,30,111.8,76,59
onycha,al,103,101.1,74,57
opelika,al,124,103.5,73,45
opp,al,103,101.1,74,53
orange_beach,al,173,100.8,67,73
orrville,al,129,103.8,100,54
our_town,al,113,105.7,80,47
owens_cross_roads,al,231,108,1,62
oxford,al,170,106.9,91,47
ozark,al,53,103.5,50,45
paint_rock,al,92,102.9,53,66
panola,al,61,106.4,88,56
parrish,al,110,104,80,50
pelham,al,208,104.5,79,33
pell_city,al,32,107.2,81,45
pennington,al,53,108.3,88,53
penton,al,73,103.3,80,56
perdido_beach,al,173,100.8,67,66
peterman,al,60,102.3,85,56
petrey,al,29,102.4,73,52
phenix_city,al,32,105.1,73,38
phil_campbell,al,82,103,73,64
pickensville,al,43,102.8,70,57
piedmont,al,170,106.9,91,56
pike_road,al,253,106.4,87,44
pinckard,al,53,103.5,50,53
pine_apple,al,45,102.5,100,56
pine_hill,al,45,102.5,100,52
pine_level,al,58,106.9,80,49
pine_ridge,al,61,104.2,86,61
pinson,al,350,104.2,81,50
pisgah,al,92,102.9,53,67
pleasant_grove,al,350,104.2,81,41
pleasant_groves,al,92,102.9,53,66
point_clear,al,173,100.8,67,70
pollard,al,77,102.7,80,50
powell,al,61,104.2,86,64
