CongressionalDistrict,Branch,Year,Constitutional (0-1),State
VA-02,house,2011,0.27,VA
VA-01,house,2011,0.04,VA
WA-04,house,2011,0.0,WA
WA-03,house,2011,0.13,WA
WA-08,house,2011,0.0,WA
WA-05,house,2011,0.0,WA
WI-07,house,2011,0.13,WI
WI-06,house,2011,0.2,WI
WI-08,house,2011,0.27,WI
WI-01,house,2011,0.2,WI
WI-05,house,2011,0.33,WI
WV-02,house,2011,0.0,WV
WV-01,house,2011,0.0,WV
WY-00,house,2011,0.33,WY
AL-07,house,2011,0.16,AL
AR-04,house,2011,0.53,AR
AZ-08,house,2011,0.0,AZ
AZ-07,house,2011,0.05,AZ
AZ-04,house,2011,0.0,AZ
CA-09,house,2011,0.05,CA
CA-07,house,2011,0.05,CA
CA-08,house,2011,0.0,CA
CA-06,house,2011,0.05,CA
CO-01,house,2011,0.0,CO
CO-07,house,2011,0.0,CO
CO-02,house,2011,0.05,CO
CT-02,house,2011,0.0,CT
CT-03,house,2011,0.0,CT
CT-04,house,2011,0.0,CT
CT-01,house,2011,0.0,CT
CT-05,house,2011,0.0,CT
DE-00,house,2011,0.05,DE
FL-03,house,2011,0.0,FL
GA-02,house,2011,0.21,GA
GA-04,house,2011,0.0,GA
GA-05,house,2011,0.05,GA
HI-01,house,2011,0.0,HI
HI-02,house,2011,0.0,HI
IA-03,house,2011,0.21,IA
IA-01,house,2011,0.0,IA
IA-02,house,2011,0.0,IA
IL-07,house,2011,0.0,IL
IL-04,house,2011,0.05,IL
IL-02,house,2011,0.0,IL
IL-03,house,2011,0.21,IL
IL-05,house,2011,0.11,IL
IL-09,house,2011,0.05,IL
IN-07,house,2011,0.0,IN
IN-02,house,2011,0.32,IN
IN-01,house,2011,0.0,IN
KY-06,house,2011,0.42,KY
KY-03,house,2011,0.0,KY
LA-02,house,2011,0.0,LA
MA-08,house,2011,0.05,MA
MA-04,house,2011,0.05,MA
MA-01,house,2011,0.0,MA
MA-09,house,2011,0.0,MA
MA-07,house,2011,0.05,MA
MA-03,house,2011,0.0,MA
MA-02,house,2011,0.0,MA
MA-06,house,2011,0.0,MA
MA-05,house,2011,0.0,MA
MD-07,house,2011,0.0,MD
MD-04,house,2011,0.0,MD
MD-05,house,2011,0.0,MD
MD-02,house,2011,0.0,MD
MD-03,house,2011,0.0,MD
MD-08,house,2011,0.0,MD
ME-02,house,2011,0.05,ME
ME-01,house,2011,0.05,ME
MI-05,house,2011,0.05,MI
MI-09,house,2011,0.0,MI
MN-05,house,2011,0.05,MN
MN-04,house,2011,0.05,MN
MN-07,house,2011,0.63,MN
MN-01,house,2011,0.05,MN
MO-03,house,2011,0.0,MO
MO-01,house,2011,0.0,MO
MO-05,house,2011,0.05,MO
MS-02,house,2011,0.0,MS
NC-08,house,2011,0.16,NC
NC-07,house,2011,0.47,NC
NC-04,house,2011,0.0,NC
NJ-06,house,2011,0.0,NJ
NJ-08,house,2011,0.0,NJ
NJ-09,house,2011,0.0,NJ
NM-01,house,2011,0.0,NM
NM-03,house,2011,0.0,NM
NV-01,house,2011,0.11,NV
NY-05,house,2011,0.0,NY
NY-07,house,2011,0.0,NY
NY-04,house,2011,0.0,NY
NY-06,house,2011,0.0,NY
NY-08,house,2011,0.0,NY
OH-09,house,2011,0.05,OH
OK-02,house,2011,0.74,OK
OR-03,house,2011,0.0,OR
OR-04,house,2011,0.11,OR
OR-05,house,2011,0.26,OR
OR-01,house,2011,0.0,OR
PA-04,house,2011,0.68,PA
PA-02,house,2011,0.0,PA
RI-01,house,2011,0.0,RI
RI-02,house,2011,0.0,RI
SC-06,house,2011,0.05,SC
TN-09,house,2011,0.0,TN
TN-05,house,2011,0.32,TN
TX-09,house,2011,0.0,TX
UT-02,house,2011,0.63,UT
VA-08,house,2011,0.0,VA
VA-03,house,2011,0.0,VA
VT-00,house,2011,0.05,VT
WA-06,house,2011,0.0,WA
WA-01,house,2011,0.0,WA
WA-02,house,2011,0.05,WA
WA-07,house,2011,0.0,WA
WA-09,house,2011,0.0,WA
WI-02,house,2011,0.0,WI
WI-03,house,2011,0.05,WI
WI-04,house,2011,0.0,WI
WV-03,house,2011,0.37,WV
N\A,senate,2011,0.12,AK
N\A,senate,2011,0.39,AL
N\A,senate,2011,0.04,AR
N\A,senate,2011,0.36,AZ
N\A,senate,2011,0.36,FL
N\A,senate,2011,0.29,GA
N\A,senate,2011,0.28,IA
N\A,senate,2011,0.57,ID
N\A,senate,2011,0.16,IL
N\A,senate,2011,0.29,IN
N\A,senate,2011,0.18,KS
N\A,senate,2011,0.54,KY
N\A,senate,2011,0.24,LA
N\A,senate,2011,0.0,MA
N\A,senate,2011,0.11,ME
N\A,senate,2011,0.16,MO
N\A,senate,2011,0.04,MS
N\A,senate,2011,0.24,NC
N\A,senate,2011,0.04,ND
N\A,senate,2011,0.16,NE
N\A,senate,2011,0.28,NH
N\A,senate,2011,0.28,NV
N\A,senate,2011,0.2,OH
