,City,State,StateCode,Fips,County,Latitude,Longitude,Population,Density,Zip,_merge
3845,andover,connecticut,ct,,,,,,,,left_only
3847,ashford,connecticut,ct,,,,,,,,left_only
3848,avon,connecticut,ct,,,,,,,,left_only
3851,barkhamsted,connecticut,ct,,,,,,,,left_only
3852,beacon_falls,connecticut,ct,,,,,,,,left_only
3853,berlin,connecticut,ct,,,,,,,,left_only
3854,bethany,connecticut,ct,,,,,,,,left_only
3855,bethel,connecticut,ct,,,,,,,,left_only
3856,bethlehem,connecticut,ct,,,,,,,,left_only
3857,bloomfield,connecticut,ct,,,,,,,,left_only
3859,bolton,connecticut,ct,,,,,,,,left_only
3860,bozrah,connecticut,ct,,,,,,,,left_only
3861,branford,connecticut,ct,,,,,,,,left_only
3866,brookfield,connecticut,ct,,,,,,,,left_only
3867,brooklyn,connecticut,ct,,,,,,,,left_only
3868,burlington,connecticut,ct,,,,,,,,left_only
3872,canterbury,connecticut,ct,,,,,,,,left_only
3873,canton,connecticut,ct,,,,,,,,left_only
3874,chaplin,connecticut,ct,,,,,,,,left_only
3875,cheshire,connecticut,ct,,,,,,,,left_only
3876,chester,connecticut,ct,,,,,,,,left_only
3877,clinton,connecticut,ct,,,,,,,,left_only
3878,colchester,connecticut,ct,,,,,,,,left_only
3879,colebrook,connecticut,ct,,,,,,,,left_only
3881,columbia,connecticut,ct,,,,,,,,left_only
3885,coventry,connecticut,ct,,,,,,,,left_only
3886,cromwell,connecticut,ct,,,,,,,,left_only
3890,darien,connecticut,ct,,,,,,,,left_only
3891,deep_river,connecticut,ct,,,,,,,,left_only
3893,durham,connecticut,ct,,,,,,,,left_only
3895,east_granby,connecticut,ct,,,,,,,,left_only
3896,east_haddam,connecticut,ct,,,,,,,,left_only
3897,east_hampton,connecticut,ct,,,,,,,,left_only
3898,east_hampton_cdp,connecticut,ct,,,,,,,,left_only
3899,east_hartford,connecticut,ct,,,,,,,,left_only
3900,east_haven,connecticut,ct,,,,,,,,left_only
3901,east_lyme,connecticut,ct,,,,,,,,left_only
3902,east_windsor,connecticut,ct,,,,,,,,left_only
3903,eastford,connecticut,ct,,,,,,,,left_only
3904,easton,connecticut,ct,,,,,,,,left_only
3905,ellington,connecticut,ct,,,,,,,,left_only
3906,enfield,connecticut,ct,,,,,,,,left_only
3907,essex,connecticut,ct,,,,,,,,left_only
3908,fairfield,connecticut,ct,,,,,,,,left_only
3910,farmington,connecticut,ct,,,,,,,,left_only
3912,franklin,connecticut,ct,,,,,,,,left_only
3915,glastonbury,connecticut,ct,,,,,,,,left_only
3917,goshen,connecticut,ct,,,,,,,,left_only
3918,granby,connecticut,ct,,,,,,,,left_only
3919,greenwich,connecticut,ct,,,,,,,,left_only
3920,griswold,connecticut,ct,,,,,,,,left_only
3921,groton,connecticut,ct,,,,,,,,left_only
3922,groton_city,connecticut,ct,,,,,,,,left_only
3924,guilford,connecticut,ct,,,,,,,,left_only
3925,haddam,connecticut,ct,,,,,,,,left_only
3926,hamden,connecticut,ct,,,,,,,,left_only
3927,hampton,connecticut,ct,,,,,,,,left_only
3929,hartland,connecticut,ct,,,,,,,,left_only
3930,harwinton,connecticut,ct,,,,,,,,left_only
3932,hebron,connecticut,ct,,,,,,,,left_only
3937,kent,connecticut,ct,,,,,,,,left_only
3938,killingly,connecticut,ct,,,,,,,,left_only
3939,killingworth,connecticut,ct,,,,,,,,left_only
3942,lebanon,connecticut,ct,,,,,,,,left_only
3943,ledyard,connecticut,ct,,,,,,,,left_only
3944,lisbon,connecticut,ct,,,,,,,,left_only
3945,litchfield,connecticut,ct,,,,,,,,left_only
3946,litchfield_borough,connecticut,ct,,,,,,,,left_only
3949,lyme,connecticut,ct,,,,,,,,left_only
3950,madison,connecticut,ct,,,,,,,,left_only
3951,manchester,connecticut,ct,,,,,,,,left_only
3952,mansfield,connecticut,ct,,,,,,,,left_only
3953,marlborough,connecticut,ct,,,,,,,,left_only
3956,middlebury,connecticut,ct,,,,,,,,left_only
3957,middlefield,connecticut,ct,,,,,,,,left_only
3959,milford,connecticut,ct,,,,,,,,left_only
3960,monroe,connecticut,ct,,,,,,,,left_only
3961,montville,connecticut,ct,,,,,,,,left_only
3964,morris,connecticut,ct,,,,,,,,left_only
3967,naugatuck_borough,connecticut,ct,,,,,,,,left_only
3970,new_fairfield,connecticut,ct,,,,,,,,left_only
3971,new_hartford,connecticut,ct,,,,,,,,left_only
3975,new_milford,connecticut,ct,,,,,,,,left_only
3976,new_milford_cdp,connecticut,ct,,,,,,,,left_only
3978,newington,connecticut,ct,,,,,,,,left_only
3979,newtown,connecticut,ct,,,,,,,,left_only
3980,newtown_borough,connecticut,ct,,,,,,,,left_only
3983,norfolk,connecticut,ct,,,,,,,,left_only
3984,north_branford,connecticut,ct,,,,,,,,left_only
3985,north_canaan,connecticut,ct,,,,,,,,left_only
3988,north_haven,connecticut,ct,,,,,,,,left_only
3989,north_stonington,connecticut,ct,,,,,,,,left_only
3995,old_lyme,connecticut,ct,,,,,,,,left_only
3997,old_saybrook,connecticut,ct,,,,,,,,left_only
3999,orange,connecticut,ct,,,,,,,,left_only
4000,oxford,connecticut,ct,,,,,,,,left_only
4004,plainfield,connecticut,ct,,,,,,,,left_only
4005,plainville,connecticut,ct,,,,,,,,left_only
4006,plymouth,connecticut,ct,,,,,,,,left_only
4007,pomfret,connecticut,ct,,,,,,,,left_only
4009,portland,connecticut,ct,,,,,,,,left_only
4010,preston,connecticut,ct,,,,,,,,left_only
4011,prospect,connecticut,ct,,,,,,,,left_only
4012,putnam,connecticut,ct,,,,,,,,left_only
4014,redding,connecticut,ct,,,,,,,,left_only
4015,ridgefield,connecticut,ct,,,,,,,,left_only
4018,rocky_hill,connecticut,ct,,,,,,,,left_only
4019,roxbury,connecticut,ct,,,,,,,,left_only
4020,salem,connecticut,ct,,,,,,,,left_only
4021,salisbury,connecticut,ct,,,,,,,,left_only
4024,scotland,connecticut,ct,,,,,,,,left_only
4025,seymour,connecticut,ct,,,,,,,,left_only
4026,sharon,connecticut,ct,,,,,,,,left_only
4030,simsbury,connecticut,ct,,,,,,,,left_only
4031,somers,connecticut,ct,,,,,,,,left_only
4034,south_windsor,connecticut,ct,,,,,,,,left_only
4036,southbury,connecticut,ct,,,,,,,,left_only
4037,southington,connecticut,ct,,,,,,,,left_only
4040,sprague,connecticut,ct,,,,,,,,left_only
4041,stafford,connecticut,ct,,,,,,,,left_only
4043,sterling,connecticut,ct,,,,,,,,left_only
4044,stonington,connecticut,ct,,,,,,,,left_only
4045,stonington_borough,connecticut,ct,,,,,,,,left_only
4047,stratford,connecticut,ct,,,,,,,,left_only
4048,suffield,connecticut,ct,,,,,,,,left_only
4052,thomaston,connecticut,ct,,,,,,,,left_only
4053,thompson,connecticut,ct,,,,,,,,left_only
4055,tolland,connecticut,ct,,,,,,,,left_only
4057,trumbull,connecticut,ct,,,,,,,,left_only
4058,union,connecticut,ct,,,,,,,,left_only
4059,vernon,connecticut,ct,,,,,,,,left_only
4060,voluntown,connecticut,ct,,,,,,,,left_only
4061,wallingford,connecticut,ct,,,,,,,,left_only
4062,warren,connecticut,ct,,,,,,,,left_only
4063,washington,connecticut,ct,,,,,,,,left_only
4065,waterford,connecticut,ct,,,,,,,,left_only
4066,watertown,connecticut,ct,,,,,,,,left_only
4069,west_hartford,connecticut,ct,,,,,,,,left_only
4072,westbrook,connecticut,ct,,,,,,,,left_only
4074,westport,connecticut,ct,,,,,,,,left_only
4075,wethersfield,connecticut,ct,,,,,,,,left_only
4077,willington,connecticut,ct,,,,,,,,left_only
4078,wilton,connecticut,ct,,,,,,,,left_only
4079,winchester,connecticut,ct,,,,,,,,left_only
4080,windham,connecticut,ct,,,,,,,,left_only
4081,windsor,connecticut,ct,,,,,,,,left_only
4082,windsor_locks,connecticut,ct,,,,,,,,left_only
4084,wolcott,connecticut,ct,,,,,,,,left_only
4085,woodbridge,connecticut,ct,,,,,,,,left_only
4086,woodbury,connecticut,ct,,,,,,,,left_only
4088,woodstock,connecticut,ct,,,,,,,,left_only
4169,washington?utm_source=best-places&utm_medium=referral&utm_campaign=best-places-partnership&utm_term=ppo-washington-dc&utm_content=1&qls=RHB_rhbp2021.bestplaces,district_of_columbia,dc,,,,,,,,left_only
4214,bayport,florida,fl,,,,,,,,left_only
4423,four_corners,florida,fl,,,,,,,,left_only
4469,gulf_gate_estates,florida,fl,,,,,,,,left_only
4537,islamorada-village_of_islands,florida,fl,,,,,,,,left_only
4581,lake_butler_cdp,florida,fl,,,,,,,,left_only
4588,lake_lindsey,florida,fl,,,,,,,,left_only
4600,lake_worth,florida,fl,,,,,,,,left_only
4687,midway_(santa_rosa_cnty),florida,fl,,,,,,,,left_only
4688,midway_(seminole_cnty),florida,fl,,,,,,,,left_only
4746,ocean_breeze_park,florida,fl,,,,,,,,left_only
4818,pine_ridge_(citrus_cnty),florida,fl,,,,,,,,left_only
4819,pine_ridge_(collier_cnty),florida,fl,,,,,,,,left_only
4828,plantation_cdp,florida,fl,,,,,,,,left_only
4830,plantation_mobile_home_park,florida,fl,,,,,,,,left_only
4932,springhill,florida,fl,,,,,,,,left_only
4994,university_(hillsborough_cnty),florida,fl,,,,,,,,left_only
4995,university_(orange_cnty),florida,fl,,,,,,,,left_only
4996,university_park,florida,fl,,,,,,,,left_only
5009,villano_beach,florida,fl,,,,,,,,left_only
5059,whitfield_(manatee_cnty),florida,fl,,,,,,,,left_only
5060,whitfield_(santa_rosa_cnty),florida,fl,,,,,,,,left_only
5118,athens-clarke_county,georgia,ga,,,,,,,,left_only
5122,augusta-richmond_county,georgia,ga,,,,,,,,left_only
5201,cherry_log,georgia,ga,,,,,,,,left_only
5235,cusseta-chattahoochee_county,georgia,ga,,,,,,,,left_only
5274,eagle_grove,georgia,ga,,,,,,,,left_only
5323,georgetown-quitman_county,georgia,ga,,,,,,,,left_only
5451,mcrae,georgia,ga,,,,,,,,left_only
5484,mountain_park_cdp,georgia,ga,,,,,,,,left_only
5519,payne,georgia,ga,,,,,,,,left_only
5588,sautee_nacoochee,georgia,ga,,,,,,,,left_only
5625,sunny_side,georgia,ga,,,,,,,,left_only
5690,webster_county,georgia,ga,,,,,,,,left_only
5760,kailua_(hawaii_cnty),hawaii,hi,,,,,,,,left_only
5761,kailua_(honolulu_cnty),hawaii,hi,,,,,,,,left_only
5764,kalaoa,hawaii,hi,,,,,,,,left_only
5767,kaneohe_station,hawaii,hi,,,,,,,,left_only
5837,ualapu'e,hawaii,hi,,,,,,,,left_only
5843,waikane,hawaii,hi,,,,,,,,left_only
5854,waimea_(hawaii_cnty),hawaii,hi,,,,,,,,left_only
5855,waimea_(kauai_cnty),hawaii,hi,,,,,,,,left_only
5955,hidden_spring,idaho,id,,,,,,,,left_only
6090,abington,illinois,il,,,,,,,,left_only
6095,addison_township,illinois,il,,,,,,,,left_only
6097,aetna,illinois,il,,,,,,,,left_only
6098,afton,illinois,il,,,,,,,,left_only
6099,akron,illinois,il,,,,,,,,left_only
6100,alba,illinois,il,,,,,,,,left_only
6102,albany_township,illinois,il,,,,,,,,left_only
6109,algonquin_township,illinois,il,,,,,,,,left_only
6111,alhambra_township,illinois,il,,,,,,,,left_only
6112,allen,illinois,il,,,,,,,,left_only
6114,allens_grove,illinois,il,,,,,,,,left_only
6117,allin,illinois,il,,,,,,,,left_only
6118,allison,illinois,il,,,,,,,,left_only
6120,alma_township,illinois,il,,,,,,,,left_only
6126,alto,illinois,il,,,,,,,,left_only
6129,alton_township,illinois,il,,,,,,,,left_only
6133,amboy_township,illinois,il,,,,,,,,left_only
6134,amity,illinois,il,,,,,,,,left_only
6136,anchor_township,illinois,il,,,,,,,,left_only
6138,andalusia_township,illinois,il,,,,,,,,left_only
6139,anderson,illinois,il,,,,,,,,left_only
6141,andover_township,illinois,il,,,,,,,,left_only
6144,annawan_town,illinois,il,,,,,,,,left_only
6145,annawan_township,illinois,il,,,,,,,,left_only
6147,antioch_township,illinois,il,,,,,,,,left_only
6148,appanoose,illinois,il,,,,,,,,left_only
6151,apple_river_township,illinois,il,,,,,,,,left_only
6153,arcola_township,illinois,il,,,,,,,,left_only
6155,arenzville_township,illinois,il,,,,,,,,left_only
6157,arispie,illinois,il,,,,,,,,left_only
6161,aroma,illinois,il,,,,,,,,left_only
6163,arrington,illinois,il,,,,,,,,left_only
6165,arrowsmith_township,illinois,il,,,,,,,,left_only
6166,artesia,illinois,il,,,,,,,,left_only
6168,asbury,illinois,il,,,,,,,,left_only
6169,ash_grove_township_(iroquois_cnty),illinois,il,,,,,,,,left_only
6170,ash_grove_township_(shelby_cnty),illinois,il,,,,,,,,left_only
6172,ashkum_township,illinois,il,,,,,,,,left_only
6174,ashland_township,illinois,il,,,,,,,,left_only
6176,ashley_township,illinois,il,,,,,,,,left_only
6178,ashmore_township,illinois,il,,,,,,,,left_only
