Place,StateCode,County
lanett,al,chambers
langston,al,jackson
leeds,al,jefferson
leesburg,al,cherokee
leighton,al,colbert
leroy,al,washington
lester,al,limestone
level_plains,al,dale
lexington,al,lauderdale
libertyville,al,covington
lincoln,al,talladega
linden,al,marengo
lineville,al,clay
lipscomb,al,jefferson
lisman,al,choctaw
littleville,al,colbert
livingston,al,sumter
loachapoka,al,lee
lockhart,al,covington
locust_fork,al,blount
lookout_mountain,al,etowah
louisville,al,barbour
lowndesboro,al,lowndes
loxley,al,baldwin
luverne,al,crenshaw
lynn,al,winston
macedonia,al,pickens
madison,al,madison
madrid,al,houston
magnolia_springs,al,baldwin
malcolm,al,washington
malvern,al,geneva
maplesville,al,chilton
marbury,al,autauga
margaret,al,st._clair
marion,al,perry
maytown,al,jefferson
mcdonald_chapel,al,jefferson
mcintosh,al,washington
mckenzie,al,butler
mcmullen,al,pickens
meadowbrook,al,shelby
megargel,al,monroe
memphis,al,pickens
mentone,al,dekalb
meridianville,al,madison
midfield,al,jefferson
midland_city,al,dale
midway,al,bullock
mignon,al,talladega
millbrook,al,elmore
millerville,al,clay
millport,al,lamar
millry,al,washington
minor,al,jefferson
mobile,al,mobile
monroeville,al,monroe
montevallo,al,shelby
montgomery,al,montgomery
moody,al,st._clair
moores_mill,al,madison
mooresville,al,limestone
morris,al,jefferson
morrison_crossroads,al,randolph
mosses,al,lowndes
moulton,al,lawrence
moundville,al,hale
mount_olive_(coosa_cnty),al,coosa
mount_olive_(jefferson_cnty),al,jefferson
mount_vernon,al,mobile
mountain_brook,al,jefferson
movico,al,mobile
mulga,al,jefferson
munford,al,talladega
muscle_shoals,al,colbert
myrtlewood,al,marengo
nanafalia,al,marengo
nances_creek,al,calhoun
napier_field,al,dale
natural_bridge,al,winston
nauvoo,al,walker
nectar,al,blount
needham,al,choctaw
new_brockton,al,coffee
new_hope,al,madison
new_market,al,madison
new_site,al,tallapoosa
new_union,al,etowah
newbern,al,hale
newton,al,dale
newville,al,henry
north_courtland,al,lawrence
north_johns,al,jefferson
northport,al,tuscaloosa
notasulga,al,macon
oak_grove,al,talladega
oak_hill,al,wilcox
oakman,al,walker
odenville,al,st._clair
ohatchee,al,calhoun
oneonta,al,blount
onycha,al,covington
opelika,al,lee
opp,al,covington
orange_beach,al,baldwin
orrville,al,dallas
our_town,al,tallapoosa
owens_cross_roads,al,madison
oxford,al,calhoun
ozark,al,dale
paint_rock,al,jackson
panola,al,sumter
parrish,al,walker
pelham,al,shelby
pell_city,al,st._clair
pennington,al,choctaw
penton,al,chambers
perdido_beach,al,baldwin
peterman,al,monroe
petrey,al,crenshaw
phenix_city,al,russell
phil_campbell,al,franklin
pickensville,al,pickens
piedmont,al,calhoun
pike_road,al,montgomery
pinckard,al,dale
pine_apple,al,wilcox
pine_hill,al,wilcox
pine_level,al,autauga
pine_ridge,al,dekalb
pinson,al,jefferson
pisgah,al,jackson
pleasant_grove,al,jefferson
pleasant_groves,al,jackson
point_clear,al,baldwin
pollard,al,escambia
powell,al,dekalb
prattville,al,autauga
priceville,al,morgan
prichard,al,mobile
providence,al,marengo
putnam,al,marengo
ragland,al,st._clair
rainbow_city,al,etowah
rainsville,al,dekalb
ranburne,al,cleburne
ray,al,coosa
red_bay,al,franklin
red_level,al,covington
redland,al,elmore
redstone_arsenal,al,madison
reece_city,al,etowah
reeltown,al,tallapoosa
reform,al,pickens
rehobeth,al,houston
repton,al,conecuh
ridgeville,al,etowah
river_falls,al,covington
riverside,al,st._clair
riverview,al,escambia
roanoke,al,randolph
robertsdale,al,baldwin
rock_creek,al,jefferson
rock_mills,al,randolph
rockford,al,coosa
rockville,al,clarke
rogersville,al,lauderdale
rosa,al,blount
russellville,al,franklin
rutledge,al,crenshaw
saks,al,calhoun
samson,al,geneva
sand_rock,al,cherokee
sanford,al,covington
saraland,al,mobile
sardis_city,al,etowah
satsuma,al,mobile
scottsboro,al,jackson
section,al,jackson
selma,al,dallas
selmont-west_selmont,al,dallas
semmes,al,mobile
sheffield,al,colbert
shelby,al,shelby
shiloh,al,dekalb
shoal_creek,al,shelby
shorter,al,macon
silas,al,choctaw
silverhill,al,baldwin
sims_chapel,al,washington
sipsey,al,walker
skyline,al,jackson
slocomb,al,geneva
smiths_station,al,lee
smoke_rise,al,blount
snead,al,blount
somerville,al,morgan
south_vinemont,al,cullman
southside,al,etowah
spanish_fort,al,baldwin
spring_garden,al,cherokee
springville,al,st._clair
spruce_pine,al,franklin
st._florian,al,lauderdale
st._stephens,al,washington
standing_rock,al,chambers
steele,al,st._clair
sterrett,al,shelby
stevenson,al,jackson
stewartville,al,coosa
sulligent,al,lamar
sumiton,al,walker
summerdale,al,baldwin
susan_moore,al,blount
sweet_water,al,marengo
sylacauga,al,talladega
sylvan_springs,al,jefferson
sylvania,al,dekalb
talladega,al,talladega
talladega_springs,al,talladega
tallassee,al,elmore
tarrant,al,jefferson
taylor,al,houston
theodore,al,mobile
thomaston,al,marengo
thomasville,al,clarke
thorsby,al,chilton
tibbie,al,washington
tidmore_bend,al,etowah
tillmans_corner,al,mobile
town_creek,al,lawrence
toxey,al,choctaw
trafford,al,jefferson
triana,al,madison
trinity,al,morgan
troy,al,pike
trussville,al,jefferson
tuscaloosa,al,tuscaloosa
tuscumbia,al,colbert
tuskegee,al,macon
twin,al,marion
underwood-petersville,al,lauderdale
union,al,greene
union_grove,al,marshall
union_springs,al,bullock
uniontown,al,perry
uriah,al,monroe
valley,al,chambers
valley_grande,al,dallas
valley_head,al,dekalb
vance,al,tuscaloosa
vandiver,al,shelby
vernon,al,lamar
vestavia_hills,al,jefferson
vina,al,franklin
vincent,al,shelby
vinegar_bend,al,washington
vredenburgh,al,monroe
wadley,al,randolph
waldo,al,talladega
walnut_grove,al,etowah
warrior,al,jefferson
waterloo,al,lauderdale
waverly,al,chambers
weaver,al,calhoun
webb,al,houston
wedowee,al,randolph
weogufka,al,coosa
west_blocton,al,bibb
west_end-cobb_town,al,calhoun
west_jefferson,al,jefferson
west_point,al,cullman
westover,al,shelby
wetumpka,al,elmore
whatley,al,clarke
white_hall,al,lowndes
white_plains,al,calhoun
whitesboro,al,etowah
wilsonville,al,shelby
wilton,al,shelby
winfield,al,marion
woodland,al,randolph
woodstock,al,bibb
woodville,al,jackson
yellow_bluff,al,wilcox
york,al,sumter
adak,ak,aleutians_west_census_area
akhiok,ak,kodiak_island_borough
akiachak,ak,bethel_census_area
akiak,ak,bethel_census_area
akutan,ak,aleutians_east_borough
alakanuk,ak,wade_hampton_census_area
alatna,ak,yukon-koyukuk_census_area
alcan_border,ak,southeast_fairbanks_census_area
aleknagik,ak,dillingham_census_area
aleneva,ak,kodiak_island_borough
allakaket,ak,yukon-koyukuk_census_area
ambler,ak,northwest_arctic_borough
anaktuvuk_pass,ak,north_slope_borough
anchor_point,ak,kenai_peninsula_borough
anchorage,ak,anchorage_municipality
anderson,ak,denali_borough
angoon,ak,hoonah-angoon_census_area
aniak,ak,bethel_census_area
anvik,ak,yukon-koyukuk_census_area
arctic_village,ak,yukon-koyukuk_census_area
atka,ak,aleutians_west_census_area
atmautluak,ak,bethel_census_area
atqasuk,ak,north_slope_borough
attu_station,ak,aleutians_west_census_area
badger,ak,fairbanks_north_star_borough
barrow,ak,north_slope_borough
bear_creek,ak,kenai_peninsula_borough
beaver,ak,yukon-koyukuk_census_area
beluga,ak,kenai_peninsula_borough
bethel,ak,bethel_census_area
bettles,ak,yukon-koyukuk_census_area
big_delta,ak,southeast_fairbanks_census_area
big_lake,ak,matanuska-susitna_borough
birch_creek,ak,yukon-koyukuk_census_area
brevig_mission,ak,nome_census_area
buckland,ak,northwest_arctic_borough
buffalo_soapstone,ak,matanuska-susitna_borough
butte,ak,matanuska-susitna_borough
cantwell,ak,denali_borough
central,ak,yukon-koyukuk_census_area
chalkyitsik,ak,yukon-koyukuk_census_area
chase,ak,matanuska-susitna_borough
chefornak,ak,bethel_census_area
chena_ridge,ak,fairbanks_north_star_borough
chenega,ak,valdez-cordova_census_area
chevak,ak,wade_hampton_census_area
chickaloon,ak,matanuska-susitna_borough
chignik,ak,lake_and_peninsula_borough
chignik_lagoon,ak,lake_and_peninsula_borough
chignik_lake,ak,lake_and_peninsula_borough
chiniak,ak,kodiak_island_borough
chistochina,ak,valdez-cordova_census_area
chitina,ak,valdez-cordova_census_area
chuathbaluk,ak,bethel_census_area
circle,ak,yukon-koyukuk_census_area
clam_gulch,ak,kenai_peninsula_borough
clark's_point,ak,dillingham_census_area
