Place,City,County,StateCode
glencoe,glencoe,etowah,al
glenwood,glenwood,crenshaw,al
goldville,goldville,tallapoosa,al
good_hope,good_hope,cullman,al
goodwater,goodwater,coosa,al
gordo,gordo,pickens,al
gordon,gordon,houston,al
gordonville,gordonville,lowndes,al
goshen,goshen,pike,al
graham,graham,randolph,al
grand_bay,grand_bay,mobile,al
grant,grant,marshall,al
grayson_valley,grayson_valley,jefferson,al
graysville,graysville,jefferson,al
greensboro,greensboro,hale,al
greenville,greenville,butler,al
grimes,grimes,dale,al
grove_hill,grove_hill,clarke,al
guin,guin,marion,al
gulf_shores,gulf_shores,baldwin,al
gulfcrest,gulfcrest,mobile,al
guntersville,guntersville,marshall,al
gurley,gurley,madison,al
gu-win,gu-win,marion,al
hackleburg,hackleburg,marion,al
hackneyville,hackneyville,tallapoosa,al
haleburg,haleburg,henry,al
haleyville,haleyville,winston,al
hamilton,hamilton,marion,al
hammondville,hammondville,dekalb,al
hanceville,hanceville,cullman,al
harpersville,harpersville,shelby,al
hartford,hartford,geneva,al
hartselle,hartselle,morgan,al
harvest,harvest,madison,al
hatton,hatton,lawrence,al
hayden,hayden,blount,al
hayneville,hayneville,lowndes,al
hazel_green,hazel_green,madison,al
headland,headland,henry,al
heath,heath,covington,al
heflin,heflin,cleburne,al
helena,helena,shelby,al
henagar,henagar,dekalb,al
highland_lake,highland_lake,blount,al
highland_lakes,highland_lakes,shelby,al
hillsboro,hillsboro,lawrence,al
hissop,hissop,coosa,al
hobson,hobson,washington,al
hobson_city,hobson_city,calhoun,al
hodges,hodges,franklin,al
hokes_bluff,hokes_bluff,etowah,al
hollins,hollins,clay,al
hollis_crossroads,hollis_crossroads,cleburne,al
holly_pond,holly_pond,cullman,al
hollywood,hollywood,jackson,al
holt,holt,tuscaloosa,al
holtville,holtville,elmore,al
homewood,homewood,jefferson,al
hoover,hoover,jefferson,al
horn_hill,horn_hill,covington,al
hueytown,hueytown,jefferson,al
huguley,huguley,chambers,al
huntsville,huntsville,madison,al
hurtsboro,hurtsboro,russell,al
hytop,hytop,jackson,al
ider,ider,dekalb,al
indian_springs_village,indian_springs_village,shelby,al
irondale,irondale,jefferson,al
ivalee,ivalee,etowah,al
jackson,jackson,clarke,al
jacksons'_gap,jacksons'_gap,tallapoosa,al
jacksonville,jacksonville,calhoun,al
jasper,jasper,walker,al
jemison,jemison,chilton,al
joppa,joppa,cullman,al
kansas,kansas,walker,al
kellyton,kellyton,coosa,al
kennedy,kennedy,lamar,al
killen,killen,lauderdale,al
kimberly,kimberly,jefferson,al
kinsey,kinsey,houston,al
kinston,kinston,coffee,al
la_fayette,la_fayette,chambers,al
ladonia,ladonia,russell,al
lake_view,lake_view,tuscaloosa,al
lakeview,lakeview,dekalb,al
lanett,lanett,chambers,al
langston,langston,jackson,al
leeds,leeds,jefferson,al
leesburg,leesburg,cherokee,al
leighton,leighton,colbert,al
leroy,leroy,washington,al
lester,lester,limestone,al
level_plains,level_plains,dale,al
lexington,lexington,lauderdale,al
libertyville,libertyville,covington,al
lincoln,lincoln,talladega,al
linden,linden,marengo,al
lineville,lineville,clay,al
lipscomb,lipscomb,jefferson,al
lisman,lisman,choctaw,al
littleville,littleville,colbert,al
livingston,livingston,sumter,al
loachapoka,loachapoka,lee,al
lockhart,lockhart,covington,al
locust_fork,locust_fork,blount,al
lookout_mountain,lookout_mountain,etowah,al
louisville,louisville,barbour,al
lowndesboro,lowndesboro,lowndes,al
loxley,loxley,baldwin,al
luverne,luverne,crenshaw,al
lynn,lynn,winston,al
macedonia,macedonia,pickens,al
madison,madison,madison,al
madrid,madrid,houston,al
magnolia_springs,magnolia_springs,baldwin,al
malcolm,malcolm,washington,al
malvern,malvern,geneva,al
maplesville,maplesville,chilton,al
marbury,marbury,autauga,al
margaret,margaret,st._clair,al
marion,marion,perry,al
maytown,maytown,jefferson,al
mcdonald_chapel,mcdonald_chapel,jefferson,al
mcintosh,mcintosh,washington,al
mckenzie,mckenzie,butler,al
mcmullen,mcmullen,pickens,al
