Place,County
mount_olive_(coosa_cnty),coosa
mount_olive_(jefferson_cnty),jefferson
mount_vernon,mobile
mountain_brook,jefferson
movico,mobile
mulga,jefferson
munford,talladega
muscle_shoals,colbert
myrtlewood,marengo
nanafalia,marengo
nances_creek,calhoun
napier_field,dale
natural_bridge,winston
nauvoo,walker
nectar,blount
needham,choctaw
new_brockton,coffee
new_hope,madison
new_market,madison
new_site,tallapoosa
new_union,etowah
newbern,hale
newton,dale
newville,henry
north_courtland,lawrence
north_johns,jefferson
northport,tuscaloosa
notasulga,macon
oak_grove,talladega
oak_hill,wilcox
oakman,walker
odenville,st. clair
ohatchee,calhoun
oneonta,blount
onycha,covington
opelika,lee
opp,covington
orange_beach,baldwin
orrville,dallas
our_town,tallapoosa
owens_cross_roads,madison
oxford,calhoun
ozark,dale
paint_rock,jackson
panola,sumter
parrish,walker
pelham,shelby
pell_city,st. clair
pennington,choctaw
penton,chambers
perdido_beach,baldwin
peterman,monroe
petrey,crenshaw
phenix_city,russell
phil_campbell,franklin
pickensville,pickens
piedmont,calhoun
pike_road,montgomery
pinckard,dale
pine_apple,wilcox
pine_hill,wilcox
pine_level,autauga
pine_ridge,dekalb
pinson,jefferson
pisgah,jackson
pleasant_grove,jefferson
pleasant_groves,jackson
point_clear,baldwin
pollard,escambia
powell,dekalb
prattville,autauga
priceville,morgan
prichard,mobile
providence,marengo
putnam,marengo
ragland,st. clair
rainbow_city,etowah
rainsville,dekalb
ranburne,cleburne
ray,coosa
red_bay,franklin
red_level,covington
redland,elmore
redstone_arsenal,madison
reece_city,etowah
reeltown,tallapoosa
reform,pickens
rehobeth,houston
repton,conecuh
ridgeville,etowah
river_falls,covington
riverside,st. clair
riverview,escambia
roanoke,randolph
robertsdale,baldwin
rock_creek,jefferson
rock_mills,randolph
rockford,coosa
rockville,clarke
rogersville,lauderdale
rosa,blount
russellville,franklin
rutledge,crenshaw
saks,calhoun
samson,geneva
sand_rock,cherokee
sanford,covington
saraland,mobile
sardis_city,etowah
satsuma,mobile
scottsboro,jackson
section,jackson
selma,dallas
selmont-west_selmont,dallas
semmes,mobile
sheffield,colbert
shelby,shelby
shiloh,dekalb
shoal_creek,shelby
shorter,macon
silas,choctaw
silverhill,baldwin
sims_chapel,washington
sipsey,walker
skyline,jackson
slocomb,geneva
smiths_station,lee
smoke_rise,blount
snead,blount
somerville,morgan
south_vinemont,cullman
southside,etowah
spanish_fort,baldwin
spring_garden,cherokee
springville,st. clair
spruce_pine,franklin
st._florian,lauderdale
st._stephens,washington
standing_rock,chambers
steele,st. clair
sterrett,shelby
stevenson,jackson
stewartville,coosa
sulligent,lamar
sumiton,walker
summerdale,baldwin
susan_moore,blount
sweet_water,marengo
sylacauga,talladega
sylvan_springs,jefferson
sylvania,dekalb
talladega,talladega
talladega_springs,talladega
tallassee,elmore
tarrant,jefferson
taylor,houston
theodore,mobile
thomaston,marengo
thomasville,clarke
thorsby,chilton
tibbie,washington
tidmore_bend,etowah
tillmans_corner,mobile
town_creek,lawrence
toxey,choctaw
trafford,jefferson
triana,madison
trinity,morgan
troy,pike
trussville,jefferson
tuscaloosa,tuscaloosa
tuscumbia,colbert
tuskegee,macon
twin,marion
underwood-petersville,lauderdale
union,greene
union_grove,marshall
union_springs,bullock
uniontown,perry
uriah,monroe
valley,chambers
valley_grande,dallas
valley_head,dekalb
vance,tuscaloosa
vandiver,shelby
vernon,lamar
vestavia_hills,jefferson
vina,franklin
vincent,shelby
vinegar_bend,washington
vredenburgh,monroe
wadley,randolph
waldo,talladega
walnut_grove,etowah
warrior,jefferson
waterloo,lauderdale
waverly,chambers
weaver,calhoun
webb,houston
wedowee,randolph
weogufka,coosa
west_blocton,bibb
west_end-cobb_town,calhoun
west_jefferson,jefferson
west_point,cullman
westover,shelby
wetumpka,elmore
whatley,clarke
white_hall,lowndes
white_plains,calhoun
whitesboro,etowah
wilsonville,shelby
wilton,shelby
winfield,marion
woodland,randolph
woodstock,bibb
woodville,jackson
yellow_bluff,wilcox
york,sumter
adak,aleutians west census
akhiok,kodiak island
akiachak,bethel census
akiak,bethel census
akutan,aleutians east
alakanuk,wade hampton census
alatna,yukon-koyukuk census
alcan_border,southeast fairbanks census
aleknagik,dillingham census
aleneva,kodiak island
allakaket,yukon-koyukuk census
ambler,northwest arctic
anaktuvuk_pass,north slope
anchor_point,kenai peninsula
anchorage,anchorage
anderson,denali
angoon,hoonah-angoon census
aniak,bethel census
anvik,yukon-koyukuk census
arctic_village,yukon-koyukuk census
atka,aleutians west census
atmautluak,bethel census
atqasuk,north slope
attu_station,aleutians west census
badger,fairbanks north star
barrow,north slope
bear_creek,kenai peninsula
beaver,yukon-koyukuk census
beluga,kenai peninsula
bethel,bethel census
bettles,yukon-koyukuk census
big_delta,southeast fairbanks census
big_lake,matanuska-susitna
birch_creek,yukon-koyukuk census
brevig_mission,nome census
buckland,northwest arctic
buffalo_soapstone,matanuska-susitna
butte,matanuska-susitna
cantwell,denali
central,yukon-koyukuk census
chalkyitsik,yukon-koyukuk census
chase,matanuska-susitna
chefornak,bethel census
chena_ridge,fairbanks north star
chenega,valdez-cordova census
chevak,wade hampton census
chickaloon,matanuska-susitna
chignik,lake and peninsula
chignik_lagoon,lake and peninsula
chignik_lake,lake and peninsula
chiniak,kodiak island
chistochina,valdez-cordova census
