Place,StateCode,County
huntsville,al,madison county
hurtsboro,al,russell county
hytop,al,jackson county
ider,al,dekalb county
indian_springs_village,al,shelby county
irondale,al,jefferson county
ivalee,al,etowah county
jackson,al,clarke county
jacksons'_gap,al,tallapoosa county
jacksonville,al,calhoun county
jasper,al,walker county
jemison,al,chilton county
joppa,al,cullman county
kansas,al,walker county
kellyton,al,coosa county
kennedy,al,lamar county
killen,al,lauderdale county
kimberly,al,jefferson county
kinsey,al,houston county
kinston,al,coffee county
la_fayette,al,chambers county
ladonia,al,russell county
lake_view,al,tuscaloosa county
lakeview,al,dekalb county
lanett,al,chambers county
langston,al,jackson county
leeds,al,jefferson county
leesburg,al,cherokee county
leighton,al,colbert county
leroy,al,washington county
lester,al,limestone county
level_plains,al,dale county
lexington,al,lauderdale county
libertyville,al,covington county
lincoln,al,talladega county
linden,al,marengo county
lineville,al,clay county
lipscomb,al,jefferson county
lisman,al,choctaw county
littleville,al,colbert county
livingston,al,sumter county
loachapoka,al,lee county
lockhart,al,covington county
locust_fork,al,blount county
lookout_mountain,al,etowah county
louisville,al,barbour county
lowndesboro,al,lowndes county
loxley,al,baldwin county
luverne,al,crenshaw county
lynn,al,winston county
macedonia,al,pickens county
madison,al,madison county
madrid,al,houston county
magnolia_springs,al,baldwin county
malcolm,al,washington county
malvern,al,geneva county
maplesville,al,chilton county
marbury,al,autauga county
margaret,al,st. clair county
marion,al,perry county
maytown,al,jefferson county
mcdonald_chapel,al,jefferson county
mcintosh,al,washington county
mckenzie,al,butler county
mcmullen,al,pickens county
meadowbrook,al,shelby county
megargel,al,monroe county
memphis,al,pickens county
mentone,al,dekalb county
meridianville,al,madison county
midfield,al,jefferson county
midland_city,al,dale county
midway,al,bullock county
mignon,al,talladega county
millbrook,al,elmore county
millerville,al,clay county
millport,al,lamar county
millry,al,washington county
minor,al,jefferson county
mobile,al,mobile county
monroeville,al,monroe county
montevallo,al,shelby county
montgomery,al,montgomery county
moody,al,st. clair county
moores_mill,al,madison county
mooresville,al,limestone county
morris,al,jefferson county
morrison_crossroads,al,randolph county
mosses,al,lowndes county
moulton,al,lawrence county
moundville,al,hale county
mount_olive_(coosa_cnty),al,coosa county
mount_olive_(jefferson_cnty),al,jefferson county
mount_vernon,al,mobile county
mountain_brook,al,jefferson county
movico,al,mobile county
mulga,al,jefferson county
munford,al,talladega county
muscle_shoals,al,colbert county
myrtlewood,al,marengo county
nanafalia,al,marengo county
nances_creek,al,calhoun county
napier_field,al,dale county
natural_bridge,al,winston county
nauvoo,al,walker county
nectar,al,blount county
needham,al,choctaw county
new_brockton,al,coffee county
new_hope,al,madison county
new_market,al,madison county
new_site,al,tallapoosa county
new_union,al,etowah county
newbern,al,hale county
newton,al,dale county
newville,al,henry county
north_courtland,al,lawrence county
north_johns,al,jefferson county
northport,al,tuscaloosa county
notasulga,al,macon county
oak_grove,al,talladega county
oak_hill,al,wilcox county
oakman,al,walker county
odenville,al,st. clair county
ohatchee,al,calhoun county
oneonta,al,blount county
onycha,al,covington county
opelika,al,lee county
opp,al,covington county
orange_beach,al,baldwin county
orrville,al,dallas county
our_town,al,tallapoosa county
owens_cross_roads,al,madison county
oxford,al,calhoun county
ozark,al,dale county
paint_rock,al,jackson county
panola,al,sumter county
parrish,al,walker county
pelham,al,shelby county
pell_city,al,st. clair county
pennington,al,choctaw county
penton,al,chambers county
perdido_beach,al,baldwin county
peterman,al,monroe county
petrey,al,crenshaw county
phenix_city,al,russell county
phil_campbell,al,franklin county
pickensville,al,pickens county
piedmont,al,calhoun county
pike_road,al,montgomery county
pinckard,al,dale county
pine_apple,al,wilcox county
pine_hill,al,wilcox county
pine_level,al,autauga county
pine_ridge,al,dekalb county
pinson,al,jefferson county
pisgah,al,jackson county
pleasant_grove,al,jefferson county
pleasant_groves,al,jackson county
point_clear,al,baldwin county
pollard,al,escambia county
powell,al,dekalb county
prattville,al,autauga county
priceville,al,morgan county
prichard,al,mobile county
providence,al,marengo county
putnam,al,marengo county
ragland,al,st. clair county
rainbow_city,al,etowah county
rainsville,al,dekalb county
ranburne,al,cleburne county
ray,al,coosa county
red_bay,al,franklin county
red_level,al,covington county
redland,al,elmore county
redstone_arsenal,al,madison county
reece_city,al,etowah county
reeltown,al,tallapoosa county
reform,al,pickens county
rehobeth,al,houston county
repton,al,conecuh county
ridgeville,al,etowah county
river_falls,al,covington county
riverside,al,st. clair county
riverview,al,escambia county
roanoke,al,randolph county
robertsdale,al,baldwin county
rock_creek,al,jefferson county
rock_mills,al,randolph county
rockford,al,coosa county
rockville,al,clarke county
rogersville,al,lauderdale county
rosa,al,blount county
russellville,al,franklin county
rutledge,al,crenshaw county
saks,al,calhoun county
samson,al,geneva county
sand_rock,al,cherokee county
sanford,al,covington county
saraland,al,mobile county
sardis_city,al,etowah county
satsuma,al,mobile county
scottsboro,al,jackson county
section,al,jackson county
selma,al,dallas county
selmont-west_selmont,al,dallas county
semmes,al,mobile county
sheffield,al,colbert county
shelby,al,shelby county
shiloh,al,dekalb county
shoal_creek,al,shelby county
shorter,al,macon county
silas,al,choctaw county
silverhill,al,baldwin county
sims_chapel,al,washington county
sipsey,al,walker county
skyline,al,jackson county
slocomb,al,geneva county
smiths_station,al,lee county
smoke_rise,al,blount county
snead,al,blount county
somerville,al,morgan county
south_vinemont,al,cullman county
southside,al,etowah county
spanish_fort,al,baldwin county
spring_garden,al,cherokee county
springville,al,st. clair county
spruce_pine,al,franklin county
st._florian,al,lauderdale county
st._stephens,al,washington county
standing_rock,al,chambers county
steele,al,st. clair county
sterrett,al,shelby county
stevenson,al,jackson county
stewartville,al,coosa county
sulligent,al,lamar county
sumiton,al,walker county
summerdale,al,baldwin county
susan_moore,al,blount county
sweet_water,al,marengo county
sylacauga,al,talladega county
sylvan_springs,al,jefferson county
sylvania,al,dekalb county
talladega,al,talladega county
talladega_springs,al,talladega county
tallassee,al,elmore county
tarrant,al,jefferson county
taylor,al,houston county
theodore,al,mobile county
thomaston,al,marengo county
thomasville,al,clarke county
thorsby,al,chilton county
tibbie,al,washington county
tidmore_bend,al,etowah county
tillmans_corner,al,mobile county
town_creek,al,lawrence county
toxey,al,choctaw county
trafford,al,jefferson county
triana,al,madison county
trinity,al,morgan county
troy,al,pike county
trussville,al,jefferson county
tuscaloosa,al,tuscaloosa county
tuscumbia,al,colbert county
tuskegee,al,macon county
twin,al,marion county
underwood-petersville,al,lauderdale county
union,al,greene county
union_grove,al,marshall county
union_springs,al,bullock county
uniontown,al,perry county
uriah,al,monroe county
valley,al,chambers county
valley_grande,al,dallas county
valley_head,al,dekalb county
vance,al,tuscaloosa county
vandiver,al,shelby county
vernon,al,lamar county
vestavia_hills,al,jefferson county
vina,al,franklin county
vincent,al,shelby county
vinegar_bend,al,washington county
vredenburgh,al,monroe county
wadley,al,randolph county
waldo,al,talladega county
walnut_grove,al,etowah county
warrior,al,jefferson county
waterloo,al,lauderdale county
waverly,al,chambers county
weaver,al,calhoun county
webb,al,houston county
wedowee,al,randolph county
weogufka,al,coosa county
west_blocton,al,bibb county
west_end-cobb_town,al,calhoun county
west_jefferson,al,jefferson county
west_point,al,cullman county
westover,al,shelby county
wetumpka,al,elmore county
whatley,al,clarke county
white_hall,al,lowndes county
white_plains,al,calhoun county
whitesboro,al,etowah county
wilsonville,al,shelby county
wilton,al,shelby county
winfield,al,marion county
woodland,al,randolph county
woodstock,al,bibb county
woodville,al,jackson county
yellow_bluff,al,wilcox county
york,al,sumter county
adak,ak,aleutians west census area
akhiok,ak,kodiak island borough
akiachak,ak,bethel census area
akiak,ak,bethel census area
akutan,ak,aleutians east borough
alakanuk,ak,wade hampton census area
alatna,ak,yukon-koyukuk census area
alcan_border,ak,southeast fairbanks census area
aleknagik,ak,dillingham census area
aleneva,ak,kodiak island borough
allakaket,ak,yukon-koyukuk census area
ambler,ak,northwest arctic borough
anaktuvuk_pass,ak,north slope borough
anchor_point,ak,kenai peninsula borough
anchorage,ak,anchorage municipality
anderson,ak,denali borough
angoon,ak,hoonah-angoon census area
aniak,ak,bethel census area
anvik,ak,yukon-koyukuk census area
arctic_village,ak,yukon-koyukuk census area
atka,ak,aleutians west census area
atmautluak,ak,bethel census area
atqasuk,ak,north slope borough
attu_station,ak,aleutians west census area
badger,ak,fairbanks north star borough
barrow,ak,north slope borough
bear_creek,ak,kenai peninsula borough
beaver,ak,yukon-koyukuk census area
beluga,ak,kenai peninsula borough
bethel,ak,bethel census area
bettles,ak,yukon-koyukuk census area
big_delta,ak,southeast fairbanks census area
big_lake,ak,matanuska-susitna borough
birch_creek,ak,yukon-koyukuk census area
brevig_mission,ak,nome census area
buckland,ak,northwest arctic borough
buffalo_soapstone,ak,matanuska-susitna borough
butte,ak,matanuska-susitna borough
cantwell,ak,denali borough
central,ak,yukon-koyukuk census area
chalkyitsik,ak,yukon-koyukuk census area
chase,ak,matanuska-susitna borough
chefornak,ak,bethel census area
chena_ridge,ak,fairbanks north star borough
chenega,ak,valdez-cordova census area
chevak,ak,wade hampton census area
chickaloon,ak,matanuska-susitna borough
chignik,ak,lake and peninsula borough
chignik_lagoon,ak,lake and peninsula borough
chignik_lake,ak,lake and peninsula borough
chiniak,ak,kodiak island borough
chistochina,ak,valdez-cordova census area
chitina,ak,valdez-cordova census area
chuathbaluk,ak,bethel census area
circle,ak,yukon-koyukuk census area
clam_gulch,ak,kenai peninsula borough
clark's_point,ak,dillingham census area
coffman_cove,ak,prince of wales-hyder census area
cohoe,ak,kenai peninsula borough
cold_bay,ak,aleutians east borough
college,ak,fairbanks north star borough
cooper_landing,ak,kenai peninsula borough
copper_center,ak,valdez-cordova census area
cordova,ak,valdez-cordova census area
covenant_life,ak,haines borough
craig,ak,prince of wales-hyder census area
crooked_creek,ak,bethel census area
crown_point,ak,kenai peninsula borough
deering,ak,northwest arctic borough
delta_junction,ak,southeast fairbanks census area
deltana,ak,southeast fairbanks census area
diamond_ridge,ak,kenai peninsula borough
dillingham,ak,dillingham census area
diomede,ak,nome census area
dot_lake_village,ak,southeast fairbanks census area
dry_creek,ak,southeast fairbanks census area
eagle,ak,southeast fairbanks census area
eagle_village,ak,southeast fairbanks census area
edna_bay,ak,prince of wales-hyder census area
eek,ak,bethel census area
egegik,ak,lake and peninsula borough
eielson_afb,ak,fairbanks north star borough
ekwok,ak,dillingham census area
elfin_cove,ak,hoonah-angoon census area
elim,ak,nome census area
emmonak,ak,wade hampton census area
ester,ak,fairbanks north star borough
evansville,ak,yukon-koyukuk census area
excursion_inlet,ak,haines borough
fairbanks,ak,fairbanks north star borough
false_pass,ak,aleutians east borough
farm_loop,ak,matanuska-susitna borough
farmers_loop,ak,fairbanks north star borough
ferry,ak,denali borough
fishhook,ak,matanuska-susitna borough
fort_greely,ak,southeast fairbanks census area
fort_yukon,ak,yukon-koyukuk census area
four_mile_road,ak,yukon-koyukuk census area
fox,ak,fairbanks north star borough
fox_river,ak,kenai peninsula borough
fritz_creek,ak,kenai peninsula borough
funny_river,ak,kenai peninsula borough
gakona,ak,valdez-cordova census area
galena,ak,yukon-koyukuk census area
gambell,ak,nome census area
game_creek,ak,hoonah-angoon census area
gateway,ak,matanuska-susitna borough
glacier_view,ak,matanuska-susitna borough
glennallen,ak,valdez-cordova census area
goldstream,ak,fairbanks north star borough
golovin,ak,nome census area
goodnews_bay,ak,bethel census area
grayling,ak,yukon-koyukuk census area
gulkana,ak,valdez-cordova census area
gustavus,ak,hoonah-angoon census area
haines,ak,haines borough
halibut_cove,ak,kenai peninsula borough
happy_valley,ak,kenai peninsula borough
harding-birch_lakes,ak,fairbanks north star borough
healy,ak,denali borough
hollis,ak,prince of wales-hyder census area
holy_cross,ak,yukon-koyukuk census area
homer,ak,kenai peninsula borough
hoonah,ak,hoonah-angoon census area
hooper_bay,ak,wade hampton census area
hope,ak,kenai peninsula borough
houston,ak,matanuska-susitna borough
hughes,ak,yukon-koyukuk census area
huslia,ak,yukon-koyukuk census area
hydaburg,ak,prince of wales-hyder census area
hyder,ak,prince of wales-hyder census area
igiugig,ak,lake and peninsula borough
iliamna,ak,lake and peninsula borough
juneau,ak,juneau city and borough
kachemak,ak,kenai peninsula borough
kake,ak,petersburg census area
kaktovik,ak,north slope borough
kalifornsky,ak,kenai peninsula borough
kaltag,ak,yukon-koyukuk census area
karluk,ak,kodiak island borough
kasaan,ak,prince of wales-hyder census area
kasigluk,ak,bethel census area
kasilof,ak,kenai peninsula borough
kenai,ak,kenai peninsula borough
kenny_lake,ak,valdez-cordova census area
ketchikan,ak,ketchikan gateway borough
kiana,ak,northwest arctic borough
king_cove,ak,aleutians east borough
king_salmon,ak,bristol bay borough
kipnuk,ak,bethel census area
kivalina,ak,northwest arctic borough
klawock,ak,prince of wales-hyder census area
klukwan,ak,hoonah-angoon census area
knik_river,ak,matanuska-susitna borough
knik-fairview,ak,matanuska-susitna borough
kobuk,ak,northwest arctic borough
kodiak,ak,kodiak island borough
kodiak_station,ak,kodiak island borough
kokhanok,ak,lake and peninsula borough
koliganek,ak,dillingham census area
kongiganak,ak,bethel census area
kotlik,ak,wade hampton census area
kotzebue,ak,northwest arctic borough
koyuk,ak,nome census area
koyukuk,ak,yukon-koyukuk census area
kupreanof,ak,petersburg census area
kwethluk,ak,bethel census area
kwigillingok,ak,bethel census area
lake_louise,ak,matanuska-susitna borough
lake_minchumina,ak,yukon-koyukuk census area
lakes,ak,matanuska-susitna borough
larsen_bay,ak,kodiak island borough
lazy_mountain,ak,matanuska-susitna borough
levelock,ak,lake and peninsula borough
lime_village,ak,bethel census area
livengood,ak,yukon-koyukuk census area
lowell_point,ak,kenai peninsula borough
lower_kalskag,ak,bethel census area
lutak,ak,haines borough
manley_hot_springs,ak,yukon-koyukuk census area
manokotak,ak,dillingham census area
marshall,ak,wade hampton census area
mccarthy,ak,valdez-cordova census area
mcgrath,ak,yukon-koyukuk census area
mckinley_park,ak,denali borough
meadow_lakes,ak,matanuska-susitna borough
mekoryuk,ak,bethel census area
mendeltna,ak,valdez-cordova census area
mentasta_lake,ak,valdez-cordova census area
metlakatla,ak,prince of wales-hyder census area
minto,ak,yukon-koyukuk census area
moose_creek,ak,fairbanks north star borough
moose_pass,ak,kenai peninsula borough
mosquito_lake,ak,haines borough
mountain_village,ak,wade hampton census area
mud_bay,ak,haines borough
naknek,ak,bristol bay borough
nanwalek,ak,kenai peninsula borough
napakiak,ak,bethel census area
napaskiak,ak,bethel census area
naukati_bay,ak,prince of wales-hyder census area
nelchina,ak,valdez-cordova census area
nelson_lagoon,ak,aleutians east borough
nenana,ak,yukon-koyukuk census area
new_stuyahok,ak,dillingham census area
newhalen,ak,lake and peninsula borough
newtok,ak,bethel census area
nightmute,ak,bethel census area
nikiski,ak,kenai peninsula borough
nikolaevsk,ak,kenai peninsula borough
nikolai,ak,yukon-koyukuk census area
nikolski,ak,aleutians west census area
ninilchik,ak,kenai peninsula borough
noatak,ak,northwest arctic borough
nome,ak,nome census area
nondalton,ak,lake and peninsula borough
noorvik,ak,northwest arctic borough
north_pole,ak,fairbanks north star borough
northway,ak,southeast fairbanks census area
northway_junction,ak,southeast fairbanks census area
northway_village,ak,southeast fairbanks census area
nuiqsut,ak,north slope borough
nulato,ak,yukon-koyukuk census area
nunam_iqua,ak,wade hampton census area
nunapitchuk,ak,bethel census area
old_harbor,ak,kodiak island borough
oscarville,ak,bethel census area
ouzinkie,ak,kodiak island borough
palmer,ak,matanuska-susitna borough
paxson,ak,valdez-cordova census area
pedro_bay,ak,lake and peninsula borough
pelican,ak,hoonah-angoon census area
perryville,ak,lake and peninsula borough
petersburg,ak,petersburg census area
pilot_point,ak,lake and peninsula borough
pilot_station,ak,wade hampton census area
pitkas_point,ak,wade hampton census area
platinum,ak,bethel census area
pleasant_valley,ak,fairbanks north star borough
point_baker,ak,prince of wales-hyder census area
point_hope,ak,north slope borough
point_lay,ak,north slope borough
point_mackenzie,ak,matanuska-susitna borough
port_alexander,ak,petersburg census area
port_alsworth,ak,lake and peninsula borough
port_clarence,ak,nome census area
port_graham,ak,kenai peninsula borough
port_heiden,ak,lake and peninsula borough
port_lions,ak,kodiak island borough
port_protection,ak,prince of wales-hyder census area
primrose,ak,kenai peninsula borough
prudhoe_bay,ak,north slope borough
quinhagak,ak,bethel census area
rampart,ak,yukon-koyukuk census area
red_devil,ak,bethel census area
red_dog_mine,ak,northwest arctic borough
ridgeway,ak,kenai peninsula borough
ruby,ak,yukon-koyukuk census area
russian_mission,ak,wade hampton census area
salamatof,ak,kenai peninsula borough
salcha,ak,fairbanks north star borough
sand_point,ak,aleutians east borough
savoonga,ak,nome census area
saxman,ak,ketchikan gateway borough
scammon_bay,ak,wade hampton census area
selawik,ak,northwest arctic borough
seldovia,ak,kenai peninsula borough
seldovia_village,ak,kenai peninsula borough
seward,ak,kenai peninsula borough
shageluk,ak,yukon-koyukuk census area
shaktoolik,ak,nome census area
shishmaref,ak,nome census area
shungnak,ak,northwest arctic borough
silver_springs,ak,valdez-cordova census area
sitka,ak,sitka city and borough
skagway,ak,skagway municipality
skwentna,ak,matanuska-susitna borough
slana,ak,valdez-cordova census area
sleetmute,ak,bethel census area
soldotna,ak,kenai peninsula borough
south_naknek,ak,bristol bay borough
south_van_horn,ak,fairbanks north star borough
st._george,ak,aleutians west census area
st._mary's,ak,wade hampton census area
st._michael,ak,nome census area
st._paul,ak,aleutians west census area
stebbins,ak,nome census area
steele_creek,ak,fairbanks north star borough
sterling,ak,kenai peninsula borough
stevens_village,ak,yukon-koyukuk census area
stony_river,ak,bethel census area
sunrise,ak,kenai peninsula borough
susitna,ak,matanuska-susitna borough
susitna_north,ak,matanuska-susitna borough
sutton-alpine,ak,matanuska-susitna borough
takotna,ak,yukon-koyukuk census area
talkeetna,ak,matanuska-susitna borough
tanacross,ak,southeast fairbanks census area
tanaina,ak,matanuska-susitna borough
